Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Argentina,,1.64051,1.59727,1.67291,1.69301,1.83715,1.74184,1.89741,1.95164,1.95674,1.93995,1.87408,1.97165,2.04721,1.97028,2.243,2.31176,2.39434,2.46399,2.5753,2.60422,2.66876,2.61239,2.48186,2.66287,2.78072,3.09188,3.30411,3.346,3.48701,3.42897,3.53723,3.67485,3.66507
Aruba,,--,--,--,--,--,--,0.00146,0.00146,0.00556,0.00747,0.00787,0.00858,0.00921,0.0089,0.0104,0.01201,0.0079,0.01264,0.01277,0.01277,0.01349,0.01353,0.01353,0.01442,0.01452,0.01488,0.01597,0.01399,0.01403,0.01449,0.01535,0.01432,0.01333
"Bahamas, The",,0.0599,0.06326,0.0541,0.04065,0.03669,0.03321,0.03275,0.03622,0.0338,0.03847,0.04116,0.0365,0.03061,0.02965,0.03625,0.04254,0.04778,0.04751,0.0536,0.04834,0.04749,0.0466,0.0469,0.0566,0.0572,0.0658,0.06591,0.06274,0.04299,0.04867,0.04867,0.04716,0.04965
Barbados,,0.01446,0.0153,0.01527,0.01613,0.01555,0.01715,0.01826,0.01731,0.01645,0.01773,0.0184,0.01857,0.01877,0.01777,0.018,0.01844,0.0164,0.02033,0.02098,0.0215,0.02378,0.02293,0.02293,0.02335,0.01599,0.0216,0.0206,0.01865,0.01756,0.02054,0.0193,0.01919,0.01747
Belize,,0.00371,0.00344,0.00325,0.00325,0.00351,0.00352,0.00421,0.00348,0.00262,0.00362,0.00495,0.00548,0.00474,0.00442,0.00449,0.00552,0.00495,0.0075,0.00747,0.00767,0.01074,0.01431,0.01376,0.01409,0.01513,0.01598,0.01709,0.01752,0.01079,0.01145,0.01198,0.01209,0.01496
Bolivia,,0.07454,0.0834,0.07371,0.07562,0.07319,0.06694,0.06835,0.06706,0.07765,0.08738,0.09259,0.09112,0.09799,0.08437,0.10828,0.12332,0.12122,0.13546,0.12563,0.14117,0.16192,0.14481,0.157,0.19812,0.20212,0.1973,0.20751,0.23538,0.24045,0.23868,0.2429,0.2416,0.29253
Brazil,,4.02179,3.88321,3.94323,3.94192,4.30882,4.59267,4.9686,5.11182,5.28481,5.44799,5.75431,5.99591,6.07731,5.0104,6.62072,7.02034,7.45336,7.85629,8.11133,8.25842,8.53326,8.44866,8.55386,8.64087,8.99448,9.27754,9.50131,10.01422,10.47439,10.39117,11.46232,11.8932,12.09546
Cayman Islands,,0.00144,0.00155,0.00155,0.00151,0.00155,0.00159,0.0016,0.00163,0.00382,0.00388,0.00396,0.00422,0.0043,0.00386,0.00445,0.00483,0.00486,0.00487,0.00496,0.00496,0.0049,0.00496,0.00496,0.00514,0.00551,0.00578,0.00657,0.00757,0.00953,0.00774,0.00778,0.00759,0.00668
Chile,,0.42757,0.42182,0.37554,0.37934,0.40415,0.40229,0.40934,0.42248,0.47031,0.52583,0.5942,0.58831,0.64803,0.68886,0.74172,0.80975,0.87287,0.98636,0.96485,1.01906,1.02016,1.04735,1.07471,1.13876,1.21792,1.28108,1.31534,1.30236,1.35175,1.34996,1.32178,1.40272,1.41864
Colombia,,0.69636,0.71547,0.76684,0.77864,0.85268,0.86345,0.90079,0.82399,0.91932,0.95303,0.88984,0.96652,0.97614,1.00023,1.09987,1.09449,1.18949,1.22756,1.23964,1.17921,1.17805,1.16907,1.16015,1.19834,1.2157,1.26843,1.31822,1.31241,1.33321,1.33905,1.37353,1.50615,1.54529
Costa Rica,,0.05545,0.0572,0.0558,0.06133,0.05911,0.05935,0.05825,0.06449,0.06984,0.07579,0.0744,0.07934,0.093,0.0976,0.10293,0.1059,0.10708,0.11854,0.12158,0.13348,0.14104,0.14556,0.15333,0.15878,0.16385,0.1625,0.17481,0.18426,0.19428,0.18469,0.18718,0.18725,0.19907
Cuba,,0.45633,0.46398,0.50137,0.45973,0.47576,0.48409,0.50085,0.49279,0.50004,0.51029,0.50176,0.46286,0.40903,0.37085,0.41167,0.41897,0.42871,0.47225,0.44953,0.4568,0.45968,0.46595,0.46699,0.46353,0.51958,0.45093,0.35559,0.37219,0.35078,0.41463,0.39997,0.40939,0.39456
Dominica,,0.00048,0.00061,0.0006,0.00067,0.00068,0.00073,0.00072,0.00077,0.00096,0.00101,0.00101,0.00101,0.00101,0.001,0.0012,0.00135,0.00135,0.00136,0.00147,0.00153,0.00148,0.00175,0.00191,0.00203,0.00188,0.0016,0.00195,0.00193,0.00213,0.00207,0.00207,0.0024,0.00217
Dominican Republic,,0.08726,0.08641,0.09122,0.10872,0.09397,0.10676,0.10905,0.12611,0.13375,0.12745,0.13872,0.14124,0.14654,0.12852,0.14665,0.15912,0.1726,0.18204,0.18805,0.21787,0.23415,0.24458,0.25249,0.28594,0.2717,0.27188,0.28134,0.29372,0.31314,0.28108,0.28926,0.32198,0.33207
Ecuador,,0.18651,0.19313,0.21098,0.19725,0.2079,0.2206,0.23703,0.2338,0.2423,0.2372,0.25381,0.26809,0.29819,0.25434,0.31462,0.30813,0.3324,0.34286,0.35013,0.33588,0.34462,0.3609,0.36515,0.37529,0.39205,0.42282,0.46267,0.5185,0.57704,0.5854,0.5953,0.59788,0.64015
El Salvador,,0.04527,0.04153,0.04156,0.0424,0.04507,0.04512,0.04824,0.04681,0.05113,0.05198,0.05371,0.05309,0.06031,0.05704,0.06857,0.08432,0.08619,0.08659,0.09891,0.10382,0.10082,0.10523,0.10397,0.11333,0.11117,0.11728,0.12171,0.12299,0.12557,0.11847,0.12458,0.12986,0.12863
Falkland Islands (Islas Malvinas),,0.00017,0.00017,0.00017,0.00017,0.00017,0.00022,0.00022,0.00022,0.00043,0.00039,0.00035,0.00035,0.00035,0.00035,0.00035,0.00039,0.00044,0.00048,0.00039,0.00039,0.00039,0.0004,0.00044,0.00044,0.00048,0.00053,0.00057,0.00065,0.00068,0.00067,0.00067,0.00063,0.00063
French Guiana,,0.00515,0.00443,0.00565,0.00581,0.00463,0.00465,0.00542,0.00598,0.00706,0.00796,0.00951,0.01075,0.00861,0.01128,0.01169,0.01332,0.01329,0.01332,0.01355,0.01355,0.01369,0.01921,0.01969,0.0205,0.02019,0.021,0.02132,0.02097,0.02006,0.01847,0.02094,0.02076,0.01887
Grenada,,0.00067,0.00077,0.00085,0.00083,0.00085,0.00088,0.00098,0.00102,0.00111,0.00115,0.00178,0.00178,0.00183,0.00181,0.00237,0.00221,0.00244,0.00308,0.00278,0.00278,0.00181,0.00318,0.00345,0.00349,0.00352,0.00361,0.00381,0.00377,0.00419,0.00398,0.00397,0.0041,0.00444
Guadeloupe,,0.00707,0.0101,0.01275,0.01339,0.01483,0.01341,0.01378,0.01567,0.01712,0.01916,0.02063,0.0216,0.02005,0.02142,0.02398,0.0246,0.02436,0.02481,0.02486,0.02486,0.02632,0.02679,0.02733,0.02931,0.02985,0.03126,0.03275,0.03631,0.03747,0.03188,0.03188,0.03221,0.03414
Guatemala,,0.06717,0.05719,0.05804,0.063,0.05405,0.06058,0.06525,0.06536,0.07126,0.07487,0.08019,0.07816,0.08511,0.08435,0.10313,0.10917,0.11322,0.12286,0.14229,0.15264,0.15753,0.16974,0.1687,0.18431,0.18903,0.19587,0.19974,0.20773,0.20355,0.21754,0.21301,0.24253,0.24186
Guyana,,0.02142,0.02434,0.01956,0.01726,0.01973,0.02005,0.01933,0.0147,0.01461,0.00977,0.00942,0.01085,0.01239,0.01523,0.01556,0.0133,0.01421,0.01557,0.0197,0.02096,0.0229,0.02354,0.02393,0.02341,0.02101,0.02313,0.022,0.02186,0.02265,0.02256,NA,0.02255,0.02231
Haiti,,0.015,0.01088,0.0143,0.01285,0.01307,0.01495,0.01467,0.0213,0.02316,0.02134,0.01413,0.01418,0.01531,0.01099,0.01,0.01564,0.01822,0.02185,0.02161,0.02341,0.02408,0.02601,0.02652,0.02636,0.02686,0.02719,0.02785,0.02907,0.03695,0.03339,0.03106,0.02986,0.03027
Honduras,,0.03317,0.03085,0.0315,0.0329,0.03382,0.03222,0.03763,0.03635,0.04547,0.05259,0.0593,0.05895,0.06051,0.05982,0.0609,0.06496,0.07339,0.07457,0.08028,0.08749,0.08601,0.09293,0.09775,0.10019,0.10936,0.11675,0.12283,0.13443,0.13213,0.12509,0.13259,0.13682,0.14625
Jamaica,,0.11805,0.09955,0.08658,0.09239,0.07545,0.06769,0.06822,0.07341,0.08471,0.09729,0.10347,0.10548,0.11568,0.1129,0.12196,0.13443,0.1378,0.14507,0.14803,0.15221,0.14637,0.14699,0.15054,0.15636,0.15835,0.15253,0.17143,0.18033,0.17396,0.12778,0.11304,0.12793,0.14162
Martinique,,0.00934,0.00919,0.00917,0.00906,0.00813,0.00979,0.01053,0.01194,0.01429,0.02028,0.02189,0.01806,0.02012,0.02504,0.02706,0.02766,0.02769,0.02772,0.02777,0.02777,0.02815,0.02841,0.02879,0.03002,0.03085,0.03266,0.03259,0.03382,0.03043,0.03605,0.0361,0.03692,0.03753
Montserrat,,0.00026,0.00028,0.00028,0.00028,0.00028,0.00031,0.00031,0.00035,0.0004,0.0004,0.00053,0.00049,0.00057,0.00057,0.00057,0.00066,0.00062,0.00066,0.00071,0.00071,0.00075,0.00075,0.00075,0.00084,0.00092,0.00097,0.00106,0.00115,0.00121,0.00115,0.00115,0.00123,0.00123
Netherlands Antilles,,0.23781,0.22241,0.21486,0.19761,0.18614,0.15532,0.1517,0.15405,0.14343,0.15139,0.14774,0.14015,0.13817,0.11235,0.14504,0.15289,0.1525,0.16189,0.16162,0.15601,0.15593,0.15784,0.15109,0.14478,0.14548,0.15318,0.16036,0.16864,0.18503,0.17341,0.17541,0.15231,0.14841
Nicaragua,,0.03277,0.03356,0.03337,0.03173,0.03214,0.03573,0.03478,0.03609,0.03669,0.03994,0.03701,0.03531,0.03978,0.03772,0.04204,0.04486,0.04705,0.04856,0.05237,0.05658,0.05537,0.0591,0.06114,0.06239,0.06628,0.07106,0.07053,0.07157,0.07153,0.07015,0.07232,0.07414,0.08596
Panama,,0.18343,0.18621,0.17593,0.17807,0.18243,0.16576,0.17099,0.17813,0.1752,0.17082,0.18065,0.17912,0.18153,0.17581,0.20398,0.21583,0.19331,0.19884,0.20818,0.2049,0.20637,0.20344,0.20284,0.1965,0.22718,0.22929,0.2299,0.23553,0.15098,0.25028,0.29501,0.25983,0.25811
Paraguay,,0.0279,0.02715,0.02639,0.02846,0.03129,0.05515,0.11264,0.1677,0.17444,0.21662,0.23076,0.2449,0.23047,0.25682,0.30165,0.34792,0.36317,0.40086,0.40787,0.42376,0.42971,0.37938,0.39444,0.41816,0.41478,0.40976,0.42508,0.4253,0.44273,0.43597,0.43752,0.45641,0.46044
Peru,,0.40399,0.43033,0.42903,0.40122,0.41196,0.41853,0.4496,0.45514,0.45353,0.40696,0.38495,0.38181,0.37605,0.39742,0.45232,0.47403,0.50359,0.48611,0.50307,0.51302,0.52873,0.53776,0.54613,0.55521,0.58264,0.61903,0.67681,0.68496,0.7803,0.74815,0.88086,0.86562,1.09307
Puerto Rico,,0.42761,0.45014,0.33107,0.3207,0.35934,0.31086,0.33724,0.35071,0.3202,0.3123,0.30014,0.37303,0.33257,0.30891,0.35589,0.36377,0.37427,0.38432,0.39356,0.32745,0.44069,0.47836,0.48162,0.51985,0.53042,0.51375,0.51434,0.47252,0.42092,0.3943,0.37562,0.36172,0.38636
Saint Kitts and Nevis,,0.00075,0.00079,0.00091,0.00074,0.00075,0.00075,0.00075,0.00079,0.00092,0.00092,0.00092,0.00106,0.00105,0.00118,0.00141,0.00128,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00163,0.00179,0.00189,0.00254,0.00354,0.00354,0.00372,0.00352,0.00352,0.00354
Saint Lucia,,0.00164,0.0013,0.00155,0.00143,0.00143,0.00176,0.00177,0.00198,0.00242,0.00243,0.00243,0.00243,0.00251,0.00229,0.00278,0.00283,0.00282,0.00296,0.00296,0.00296,0.00471,0.00494,0.00504,0.00552,0.00533,0.00532,0.00548,0.00585,0.00602,0.00587,0.00613,0.00613,0.00605
Saint Vincent/Grenadines,,0.00073,0.00069,0.00074,0.00074,0.00074,0.00085,0.00087,0.00095,0.00112,0.00149,0.00141,0.00125,0.0014,0.00125,0.002,0.00209,0.00208,0.00221,0.00261,0.00261,0.00269,0.00268,0.00284,0.00296,0.00318,0.00317,0.0031,0.00314,0.00314,0.00314,0.00325,0.00324,0.0032
Suriname,,0.04058,0.03563,0.03487,0.0247,0.02339,0.02843,0.02605,0.01907,0.02224,0.03013,0.03454,0.03523,0.03449,0.03413,0.03533,0.03394,0.03357,0.03409,0.03431,0.03452,0.02927,0.03074,0.032,0.03266,0.03364,0.03496,0.03608,0.03642,0.03633,0.03654,0.04393,0.04347,0.042
Trinidad and Tobago,,0.17413,0.16712,0.16779,0.18491,0.25078,0.27406,0.20582,0.19155,0.19772,0.21256,0.22627,0.25308,0.24797,0.26419,0.31133,0.32539,0.35887,0.3891,0.3875,0.3986,0.42055,0.47354,0.49998,0.53889,0.59,0.67327,0.82112,0.82411,0.89772,0.85012,0.94389,0.9299,0.91232
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019,0.00019,0.00019,0.00021,0.00021,0.00039,0.00023,0.00018,0.00018,0.00017,0.00018,0.00017,0.001,0.00221,0.00226,0.00268,0.00205,0.00203
Uruguay,,0.10936,0.10367,0.0985,0.12028,0.11708,0.10847,0.11381,0.12167,0.11877,0.10472,0.13414,0.11965,0.13687,0.13013,0.13842,0.12476,0.12886,0.14186,0.17754,0.15973,0.16448,0.16221,0.16845,0.16239,0.14093,0.15679,0.14879,0.1778,0.18426,0.18958,0.20775,0.18953,0.16849
Venezuela,,1.5883,1.72323,1.7466,1.6837,1.71362,1.74239,1.88679,1.92305,1.93668,2.06224,2.08687,2.21113,2.2178,2.06923,2.43677,2.46985,2.57638,2.66169,2.85389,2.647,2.76891,3.03054,2.93435,2.71501,2.93633,3.00455,3.2473,2.93055,3.13834,3.09738,3.22749,3.23979,3.3642
"Virgin Islands,  U.S.",,0.24982,0.22395,0.16259,0.1143,0.13365,0.1496,0.09966,0.11733,0.08209,0.12507,0.11595,0.11875,0.12131,0.08506,0.12289,0.12184,0.12054,0.12303,0.12754,0.30632,0.13864,0.19195,0.19075,0.22458,0.23458,0.2246,0.23898,0.22309,0.18699,0.2232,0.21293,0.23062,0.23349
"Virgin Islands, British",,0.00032,0.00051,0.00051,0.00051,0.00047,0.00048,0.00053,0.00062,0.00066,0.0007,0.0007,0.0007,0.00075,0.00075,0.00075,0.00075,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00084,0.00097,0.00123,0.00132,0.00141,0.00153,0.00166,0.00157,0.00244,0.00164,0.00223
Europe,,71.71779,69.47317,68.74877,69.10225,70.7943,72.92275,74.52811,75.99913,76.43434,76.97895,76.28899,75.88597,74.76196,74.93637,74.83115,76.68966,79.39655,79.44357,80.08442,80.12319,81.21436,82.4644,82.18143,83.24471,84.94479,85.42744,85.99096,85.46668,85.56081,80.88856,84.13974,82.09264,81.44999
Albania,,0.15475,0.15461,0.15416,0.15878,0.16072,0.16086,0.15769,0.1573,0.16167,0.1503,0.10797,0.09283,0.08337,0.05894,0.0692,0.07627,0.08487,0.07729,0.08352,0.09466,0.09619,0.0916,0.09516,0.11389,0.11648,0.12096,0.11852,0.10304,0.10341,0.11274,0.12652,0.10659,0.10549
Austria,,1.09571,1.0862,1.03495,1.0402,1.06518,1.08787,1.08336,1.03252,1.11489,1.13012,1.16472,1.22261,1.2003,1.24066,1.23269,1.28861,1.33825,1.35389,1.37968,1.38403,1.37849,1.43351,1.44219,1.45833,1.50091,1.55992,1.55464,1.53629,1.53744,1.46943,1.52587,1.47185,1.49402
Belgium,,2.03239,2.01217,1.90211,1.81579,1.87892,1.97459,2.04548,2.08117,2.07265,2.11851,2.16411,2.24839,2.22154,2.22616,2.36474,2.42879,2.57701,2.63674,2.69052,2.64493,2.72286,2.69623,2.67482,2.77881,2.80302,2.77702,2.75561,2.75271,2.91554,2.67399,2.84009,2.68611,2.59109
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,0.2585,0.19454,0.10419,0.17611,0.11437,0.15959,0.18607,0.19127,0.22358,0.22112,0.2316,0.22684,0.25335,0.27251,0.27846,0.25943,0.29561,0.31456,0.33916,0.35486,0.34076
Bulgaria,,1.32139,1.31357,1.35888,1.37968,1.39121,1.42884,1.41493,1.40928,1.40933,1.30958,1.18045,0.91293,0.90167,0.80713,0.84447,0.92138,0.94847,0.91626,0.84782,0.77174,0.86773,0.90406,0.8746,0.88619,0.8749,0.89745,0.91894,0.82256,0.81396,0.71088,0.73966,0.77602,0.75783
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,0.31231,0.30039,0.33778,0.34423,0.34821,0.35472,0.37228,0.37461,0.3756,0.38411,0.37378,0.39255,0.40802,0.4062,0.40716,0.39926,0.40434,0.39383,0.39059,0.34637,0.40531
Cyprus,,0.04202,0.03622,0.03868,0.04296,0.04405,0.04677,0.04851,0.05427,0.05423,0.06548,0.06967,0.07014,0.08134,0.07297,0.09299,0.09256,0.09056,0.09221,0.09985,0.10526,0.10312,0.1125,0.11064,0.11157,0.11762,0.11986,0.12395,0.12627,0.13082,0.12597,0.12151,0.1201,0.12236
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,1.60239,1.5408,1.565,1.65351,1.4628,1.42265,1.33374,1.3959,1.44135,1.44003,1.5051,1.50243,1.5412,1.58548,1.63158,1.62052,1.5285,1.6012,1.5797,1.57188
Denmark,,0.86306,0.74856,0.73866,0.69914,0.71871,0.814,0.81503,0.83236,0.80544,0.75262,0.76934,0.84526,0.79464,0.84161,0.8776,0.88374,0.97945,0.94273,0.9219,0.89472,0.87642,0.88917,0.8576,0.89932,0.86591,0.84618,0.90188,0.88004,0.84203,0.79443,0.82868,0.79017,0.73857
Faroe Islands,,0.00663,0.00051,0.00051,0.00052,0.00051,0.00051,0.00764,0.00801,0.00848,0.0093,0.00995,0.0092,0.00927,0.00892,0.00933,0.00977,0.00994,0.01003,0.01009,0.01002,0.01022,0.01022,0.01049,0.01049,0.01068,0.01086,0.01172,0.0113,0.01137,0.01133,0.0109,0.01126,0.01106
Finland,,0.97218,0.98988,0.90641,0.90382,0.94532,0.95667,0.98873,1.06452,1.06046,1.0708,1.11584,1.13321,1.13548,1.14658,1.1855,1.13069,1.1434,1.1787,1.22525,1.21317,1.24206,1.25182,1.25949,1.31738,1.34741,1.26669,1.32759,1.33552,1.30333,1.21026,1.29765,1.22941,1.22141
Former Czechoslovakia,,2.74465,2.72524,2.71119,2.73763,2.78659,2.84158,2.92215,2.98367,2.89939,2.92971,2.90599,2.56488,2.38451,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,0.6656,0.52887,0.55562,0.47592,0.74418,0.75552,0.78056,0.62643,0.6587,0.70203,0.77788,0.7796,0.79521,0.76979,--,--,--,--,--,--,--
Former Yugoslavia,,1.66547,1.74257,1.78375,1.82429,2.12645,2.19666,2.20724,2.22166,2.22773,2.23046,2.13426,1.90296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,8.38888,8.06714,7.7905,7.91184,8.17075,8.34985,8.48675,8.61137,8.59016,8.87517,9.12628,9.739,9.91544,9.80301,9.78224,10.0532,10.53032,10.36364,10.5916,10.71685,10.85524,11.09297,11.0154,11.11399,11.30579,11.37781,11.40152,11.22115,11.31583,10.75269,11.02566,10.8353,10.69425
Germany,,--,--,--,--,--,--,--,--,--,--,--,14.30271,14.0417,14.07585,14.01695,14.38832,14.4,14.34602,14.33425,14.11612,14.26057,14.61627,14.31191,14.16747,14.33314,14.09499,14.31034,13.80214,14.09612,13.21092,14.02143,13.47837,13.46572
"Germany, East",,3.59379,3.56468,3.60263,3.5452,3.60512,3.80455,3.8116,3.82739,3.81678,3.71624,3.39701,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,11.27028,10.76921,10.49559,10.49458,10.80876,11.02438,11.40743,11.40608,11.47327,11.1784,11.45957,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0.00738,0.00827,0.00736,0.00581,0.0054,0.01246,0.01868,0.01898,0.02451,0.02104,0.02185,0.02252,0.03988,0.04068,0.04172,0.04181,0.04186,0.04181,0.04825,0.04203,0.09355,0.05126,0.05216,0.0535,0.05489,0.05644,0.05775,0.05952,0.05728,0.06265,0.1141,0.05536,0.04596
Greece,,0.75171,0.74718,0.72815,0.74775,0.76766,0.80896,0.83651,0.89817,0.9576,1.00161,1.03846,1.05581,1.02027,1.07296,1.08683,1.12394,1.14511,1.19909,1.27422,1.26643,1.338,1.35539,1.35968,1.43694,1.42718,1.43536,1.47867,1.49993,1.47097,1.40279,1.34963,1.3078,1.22494
Hungary,,1.21305,1.20269,1.20229,1.2137,1.19358,1.24046,1.24273,1.27868,1.24846,1.24642,1.17725,1.1284,1.03639,1.02379,1.02018,1.03286,1.06709,1.04105,1.04947,1.05058,1.02225,1.05705,1.06097,1.08734,1.08541,1.15672,1.14514,1.11117,1.10515,1.03631,1.05312,1.02436,0.9505
Iceland,,0.05649,0.05619,0.05982,0.06287,0.06693,0.06615,0.06864,0.07091,0.07335,0.07658,0.07833,0.07622,0.07781,0.08151,0.08296,0.08444,0.09067,0.09451,0.10388,0.11282,0.1199,0.12267,0.12659,0.12748,0.12968,0.1306,0.14327,0.16535,0.21311,0.21242,0.21273,0.21409,0.20739
Ireland,,0.32304,0.31186,0.30854,0.29835,0.30755,0.31382,0.33965,0.33977,0.33293,0.35126,0.36766,0.38463,0.39173,0.40324,0.42274,0.43221,0.45974,0.48946,0.53158,0.56555,0.60157,0.62979,0.62606,0.61914,0.64579,0.6646,0.69863,0.6925,0.69409,0.6217,0.63546,0.59137,0.58158
Italy,,6.11717,6.00108,5.85958,5.75121,6.01082,6.02781,6.1078,6.331,6.48621,6.67551,6.72365,6.87508,6.83769,6.82577,6.73242,7.04419,7.07283,7.17779,7.38217,7.50831,7.58188,7.62301,7.65325,7.90083,8.08943,8.12898,8.07481,7.96625,7.90432,7.35296,7.6616,7.50472,7.1739
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06722,0.07772,0.10688,0.0807,0.07988
Luxembourg,,0.14196,0.12669,0.12047,0.11458,0.1236,0.12541,0.125,0.12441,0.12894,0.13885,0.14458,0.15642,0.1555,0.16248,0.15657,0.13914,0.14186,0.14123,0.13841,0.14602,0.15498,0.16252,0.17053,0.17882,0.20081,0.20349,0.20138,0.19739,0.19706,0.18621,0.19775,0.19418,0.1896
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,0.11972,0.12041,0.11189,0.11526,0.12501,0.12249,0.13989,0.12905,0.11505,0.10637,0.1066,0.11682,0.11938,0.12207,0.12082,0.11963,0.12043,0.11524,0.12487,0.12973,0.11679
Malta,,0.01888,0.02056,0.02211,0.01587,0.02247,0.01833,0.021,0.02361,0.02654,0.02898,0.03049,0.03103,0.03098,0.03471,0.03589,0.03366,0.03497,0.03735,0.03905,0.04454,0.03919,0.0329,0.03939,0.03925,0.03973,0.04122,0.03904,0.04138,0.0776,0.08783,0.10474,0.09226,0.08069
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.04016,0.03602,0.04281,0.03953,0.05452,0.0411,0.04389
Netherlands,,3.20502,3.00721,2.87289,2.81453,2.88156,3.00962,3.14291,3.23155,3.24036,3.25926,3.31155,3.49597,3.46819,3.53956,3.50861,3.57411,3.71317,3.68044,3.68009,3.68314,3.78937,3.93178,3.93989,4.00131,4.11291,4.22551,4.14205,4.23654,4.22039,4.06388,4.26909,4.07672,4.04483
