Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Argentina,,17.413,16.482,18.887,18.507,20.556,20.54,20.899,21.723,14.983,12.935,17.797,16.159,19.29,23.728,27.207,26.684,23.043,28.2,26.674,21.753,29.201,37.322,36.435,34.553,31.40807,35.03908,40.44109,32.8841,32.9351,36.3431,35.4761,33.791,31.742
Aruba,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1,0.09,0.09
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.1,0.108,0.1052,0.1152,0.13323,0.1316,0.12847,0.10138,0.10345,0.10881,0.21796,0.21763,0.24468,0.38823,0.46323,0.44523,0.40903
Bolivia,,1.115,1.166,1.215,1.198,1.215,1.183,1.165,1.164,1.296,1.285,1.272,1.408,1.378,1.404,1.381,1.315,1.492,1.605,1.548,1.827,2.007,2.162,2.235,2.021,2.183,2.001,2.19528,2.35811,2.349,2.339,2.32,2.484,2.562
Brazil,,130.3588,131.4337,142.0099,153.061,167.9659,179.6363,183.9005,187.3778,200.5286,205.9651,208.5,219.604,226.009,237.668,245.666,256.96,269.865,283.5651,296.06441,298.4381,309.2051,274.2121,293.5111,314.5151,330.1261,347.7662,360.2772,388.9452,386.3092,410.8282,432.9282,459.0502,451.4762
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,7.443,7.693,8.589,9.131,9.523,10.543,11.572,12.283,11.665,9.812,12.815,14.03,18.311,18.772,18.594,21.495,20.318,20.497,16.957,14.451,20.494,22.868,23.993,23.271,23.797,28.015,30.276,25.604,27.072,29.396,24.079,24.537,25.219
Colombia,,14.533,14.549,18.32,18.303,20.508,21.805,25.411,21.581,24.82,26.902,27.522,27.479,22.557,28.113,32.416,32.315,35.632,31.852,31.006,33.861,32.249,31.976,34.119,36.307,40.195,39.957,42.908,44.582,46.53,41.239,40.535,48.948,47.661
Costa Rica,,2.098,2.261,2.362,2.805,2.979,2.749,2.866,2.974,3.02,3.287,3.348,3.629,4.02,4.388,4.375,4.003,4.311,5.396,4.903,5.993,6.793,6.784,7.304,7.138,7.901,7.902,8.084,8.251,8.721,8.787,8.87,8.884,9.273
Cuba,,0.996,0.959,1.043,1.062,1.069,1.053,1.158,1.144,1.272,1.281,1.552,1.368,1.417,0.968,0.946,0.763,1.016,0.999,0.875,0.9831,1.0331,1.0051,1.0451,0.8481,0.87682,0.4881,0.4996,0.53829,0.711,0.7044,0.5807,0.5881,0.687
Dominica,,0.009,0.01,0.009,0.015,0.016,0.014,0.013,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.019,0.02,0.027,0.032,0.032,0.027,0.03,0.029,0.034,0.027,0.027,0.021,0.02,0.0235,0.0235,0.0355,0.0265
Dominican Republic,,0.646,0.883,0.831,0.863,0.639,1.074,0.94,0.99,0.87,0.623,0.417,0.578,0.555,1.153,0.573,0.639,0.894,0.706,0.758,1.125,0.792,0.734,0.91,1.238,1.67,1.913,1.779,1.739,1.413,1.4935,1.4595,1.656,1.915
Ecuador,,0.878,0.783,0.89,1.712,3.163,3.761,4.27,4.486,4.741,4.867,4.937,5.025,4.924,5.752,6.499,5.109,6.281,6.469,6.441,7.105,7.533,7,7.45,7.10862,7.33758,6.86404,7.73704,9.89704,11.70604,9.57504,9.03604,11.50804,12.414
El Salvador,,1.543,1.541,1.662,1.478,1.712,1.595,1.612,1.563,1.728,1.867,1.866,1.278,1.393,1.551,1.601,1.905,2.314,1.922,2.024,2.37,1.969,2.137,2.143,2.518,2.446,2.804,3.24,3.261,3.726,3.256,3.887,3.823,3.752
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.002,0.002,0.002
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.699,0.718,0.747,0.66,0.522
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0307,0.0307,0.0307,0.031,0.035,0.04,0.04,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Guatemala,,0.567,0.394,0.54,0.855,0.657,0.729,1.758,1.748,1.906,2.156,2.411,2.456,2.155,2.271,2.408,2.32501,2.29529,2.34957,2.22213,3.05806,3.28278,2.964,2.7515,4.277,4.169,4.318,4.606,4.711,5.165,5.627,6.425,6.723,6.25
Guyana,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0.229,0.234,0.258,0.268,0.278,0.307,0.334,0.332,0.332,0.332,0.368,0.345,0.318,0.271,0.231,0.25,0.269,0.198,0.303,0.265,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,0.205,0.175,0.119,0.158
Honduras,,0.772,0.821,0.846,0.831,0.865,0.866,1.272,1.131,1.739,1.825,2.066,2.098,2.17,2.241,1.8,1.656,2.019,2.064,1.904,2.11,2.238,1.894,1.61,1.76,1.461,1.86,2.191,2.337,2.465,2.91,3.188,2.92767,3.293
Jamaica,,0.172,0.171,0.187,0.204,0.134,0.124,0.163,0.186,0.184,0.214,0.207,0.166,0.2,0.215,0.241,0.218,0.228,0.239,0.215,0.217,0.217,0.144,0.124,0.147,0.201,0.236,0.256,0.247,0.233,0.236,0.267,0.358,0.374
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.007,0.007,0.007,0.007,0.007,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.06
Nicaragua,,0.54,0.523,0.455,0.349,0.533,0.561,0.465,0.598,0.591,0.938,0.785,0.792,0.722,0.884,0.739,0.713,0.718,0.626,0.45,0.524,0.375,0.435,0.606,0.695,0.703,0.9,0.806,0.786,1.05147,0.911,1.181,1.12,1.72
Panama,,0.995,1.464,1.224,0.998,1.62,2.006,2.179,2.107,2.305,2.226,2.247,2.056,1.918,2.314,2.395,2.409,2.991,2.895,2.142,3.123,3.408,2.497,3.385,2.816,3.765,3.71,3.616,3.705,4.014,3.926,4.225,4.13,5.363
Paraguay,,0.717,0.754,0.675,0.791,0.903,4.065,11.908,18.499,19.899,24.229,27.204,29.368,27.157,31.127,36.048,41.702,44.858,50.343,50.362,51.444,52.957,44.864,47.73,51.253,51.412,50.654,53.246,53.188,54.909,54.409,53.524,57.049,59.63
Peru,,7.115,8.092,8.586,8.29,8.747,9.594,10.248,10.978,10.487,10.452,10.504,11.506,9.819,11.786,12.747,12.841,13.328,13.225,13.792,14.529,16.16505,17.60105,18.05405,18.55405,17.51105,18.26005,19.88205,19.80505,19.45505,19.91405,20.54905,22.09005,22.515
Puerto Rico,,0.204,0.124,0.104,0.11,0.135,0.183,0.223,0.257,0.272,0.272,0.13671,0.11906,0.13512,0.12033,0.06744,0.08692,0.13503,0.10193,0.10323,0.15871,0.152,0.133,0.114,0.103,0.141,0.13828,0.142,0.164,0.156,0.174,0.153,0.149,0.148
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0.017,0.017,0.018,0.018,0.022,0.026,0.028,0.031,0.035,0.036,0.024,0.013,0.02,0.023,0.021,0.021,0.021,0.021,0.022,0.022,0.025,0.019,0.022,0.021,0.027,0.026,0.02296,0.02249,0.02344,0.023,0.026,0.025,0.025
Suriname,,0.883,0.825,1.051,0.714,0.846,0.962,0.756,0.323,0.485,1.087,1.171,1.393,1.437,1.45,1.463,1.279,1.281,1.289,1.294,1.311,0.71,0.725,0.741,0.752,0.764,0.821,0.862,0.862,0.863,0.863,0.745,0.7,0.6
Trinidad and Tobago,,0.025,0.018,0.017,0.015,0.012,0.016,0.025,0.029,0.026,0.025,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018,0.018,0.018,0.02,0.029,0.026,0.012,0.023,0.022,0.026,0.019,0.02,0.019,0.02,0.02,0.02
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,2.249,2.52,2.421,7.115,7.033,6.384,7.217,7.186,5.364,3.861,6.997,6.108,7.908,7.284,7.45,5.84,5.751,6.452,9.105,5.492,7.016,9.141,9.481,8.484,4.769,6.657,3.61,8.125,5.296,6.042,9.532,7.429,6.489
Venezuela,,14.438,14.933,15.834,18.308,19.46,21.825,24.907,30.535,33.861,34.319,36.613,44.088,46.789,46.994,50.761,50.926,53.306,56.695,57.376,59.949,62.198,59.845,58.94,59.927,69.374,76.457,80.784,82.228,85.973,85.102,76.012,82.833,81.188
"Virgin Islands,  U.S.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,471.876,477.686,473.439,486.566,495.141,490.966,474.915,508.657,552.431,484.1378,499.646,502.874,535.95985,556.03627,564.59446,580.85342,569.64074,591.59117,619.58605,630.97802,666.16018,673.99165,643.73304,623.91002,687.18215,706.86052,723.91031,763.48157,815.80289,847.44909,947.23524,934.3855,1040.1077
Albania,,2.919,3.018,3.093,3.167,3.241,3.315,3.365,3.979,3.713,3.846,2.82,3.483,3.187,3.281,3.733,4.162,5.669,4.978,4.872,5.231,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.179,7.638,4.017,4.245
Austria,,28.809,30.323,30.398,30.104,29.145,31.17,31.42,26.257,36.146,35.691,32.359,32.367,35.856,37.74,36.596,38.605,35.683,37.61,38.755,42.107,43.144,42.048,41.716,35.212,39.682,40.543,41.032,43.392,44.775,47.352,45.162,42.473,50.881
Belgium,,0.559,0.653,0.574,0.539,0.567,0.58,0.792,0.936,0.926,0.916,0.993,1.041,1.216,1.134,1.234,1.386,1.294,1.20895,1.40011,1.552,1.807,2.057,2.075,1.956,2.404,2.763,3.828,4.523,5.478,6.749,7.788,9.665,10.473
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,3.374,2.343,3.424,3.607,5.104,4.608,4.511,5.477,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.343,4.173
Bulgaria,,3.674,3.58,3.018,3.318,3.226,2.214,2.302,2.512,2.569,2.662,1.859,2.417,2.042,1.923,1.453,2.291,2.89,2.726,3.068,2.754,2.661,1.72,2.183,3.005,3.156,4.316,4.223,2.898,2.934,3.683,5.737,3.778,5.295
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,4.304,4.32,4.887,5.217,7.166,5.236,5.408,6.526,5.795,6.483,5.311,4.827,6.894,6.294,5.97,4.237,5.225,6.742,8.418,4.618,5.018
Cyprus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.014,0.01,0.121,0.1276,0.257
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,1.64185,1.86585,2.40585,2.337,2.21001,1.98,2.496,2.4634,2.746,3.158,1.87,2.729,3.115,3.502,3.397,3.721,4.639,5.9,7.218,8.016
Denmark,,0.03,0.031,0.028,0.06,0.067,0.087,0.165,0.212,0.334,0.471,0.867,1.122,1.466,1.791,1.974,2.12,2.421,3.313,4.31673,4.862,6.128,6.438,7.412,8.746,10.173,10.628,10.025,11.1,10.951,10.82,13.151,14.682,14.674
Faroe Islands,,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.07342,0.07561,0.07557,0.07014,0.07562,0.07705,0.07001,0.07579,0.0757,0.09609,0.08782,0.10095,0.10832,0.11491,0.11917,0.10789,0.10649,0.08034,0.104,0.111
Finland,,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,15.906,18.065,19.909,19.304,18.142,19.416,17.897,20.31858,24.616,21.398,23.296,21.526,19.836,19.134,25.666,23.495,22.472,24.337,27.764,21.78,24.263,23.395,28.233
Former Czechoslovakia,,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--,--,--,--
Former Yugoslavia,,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,69.375,71.586,70.244,68.771,65.465,61.57,62.356,70.041,75.34,47.783,54.999,58.674,70.75,66.598,80.551,74.963,67.384,66.451,64.793,75.611,70.682,78.884,65.381,64.375,65.426,57.664,63.143,67.505,75.052,71.032,79.693,66.294,82.776
Germany,,--,--,--,--,--,--,--,--,--,--,--,20.681,23.731,24.572,28.39,30.977,31.808,28.50443,31.408,33.26,41.048,45.519,51.455,52.967,62.9652,63.8982,73.4664,92.1874,93.98,99.251,109.635,126.78,142.685
"Germany, East",,1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,22.29,22.629,22.419,20.759,20.75,19.673,20.717,22.158,22.433,21.079,20.553,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.77,2.359,1.889,1.753,3.07,2.326,2.399,2.686,3.632,4.458,3.99218,3.91,4.904,4.27,3.014,3.657,5.985,6.01,6.456,7.645,4.593,5.736,8.15,10.576,8.215,10.107
Hungary,,0.111,0.166,0.158,0.153,0.179,0.153,0.152,0.167,0.167,0.156,0.21,0.24,0.247,0.241,0.249,0.264,0.296,0.30884,0.26545,0.299,0.296,0.311,0.264,0.367,0.96,1.94,1.623,2.027,2.469,3.01,3.17,2.77,2.644
Iceland,,3.103,3.217,3.575,3.77,3.921,3.848,4.058,4.152,4.414,4.474,4.462,4.445,4.497,4.677,4.73,4.925,5.07,5.52993,6.22,7.123,7.615,7.963,8.34,8.423,8.548,8.611,9.853,11.891,16.342,16.709,16.931,17.083,17.423
Ireland,,0.833,0.855,0.792,0.776,0.68,0.824,0.91,0.673,0.862,0.684,0.69,0.738,0.814,0.785,0.943,0.737,0.756,0.80222,1.161,1.116,1.177,1.021,1.373,1.132,1.388,1.867,2.468,2.787,3.578,4.0994,3.7254,5.4224,5.2294
Italy,,48.79,46.109,44.587,44.193,45.227,43.668,44.142,42.765,43.998,36.8098,34.641,45.225,45.432,44.901,47.93,41.251,46.031,46.04697,46.501,51.557,50.957,54.634,48.724,44.619,54.864,49.557,51.901,49.083,59.445,70.537,78.6,85.325,91.804
Kosovo,,--,--,--,--,--,--,--,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.075,0.119,0.154,0.104,0.095
Luxembourg,,0.115,0.128,0.117,0.115,0.123,0.104,0.116,0.143,0.141,0.108,0.104,0.121,0.101,0.106,0.158,0.14,0.101,0.131,0.17,0.155,0.202,0.20095,0.18395,0.168,0.228,0.239,0.28,0.304,0.322,0.307,0.312,0.302,0.327
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,0.817,0.517,0.696,0.793,0.842,0.891,1.072,1.375,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.419,1.034
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0.016
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.733,1.271,1.524,2.05,2.723,1.192,1.462
Netherlands,,1,1,0.3,0.2,0.02,0.403,0.504,0.703,0.818,0.96,1.233,1.347,1.416,1.601,1.803,2.004,2.674,3.03108,3.434,3.705,4.181,4.507,5.206,5.326,6.629,8.871,9.468,9.092,10.995,12.346,12.763,14.026,12.063
Norway,,82.717,91.876,91.507,104.704,104.895,101.473,95.37,102.381,107.97,117.423,120.175,109.269,115.76385,118.313,110.713,120.648,103.173,108.964,114.863,120.574,140.727,119.627,128.479,105.08,108.404,135.222,119.28,133.684,139.051,125.309,116.988,120.883,142.412
Poland,,2.715,2.487,1.904,2.108,1.864,2.342,2.033,1.952,2.054,1.815,1.661,1.849,1.916,1.838,2.073,2.233,2.316,2.546,2.887,2.643,2.642,3.082,3.208,2.519,3.383,4.063,4.507,5.637,6.792,8.892,11.1045,12.9065,16.868
Portugal,,8.177,5.229,7.155,8.282,9.964,11.033,8.94,9.588,12.657,6.349,9.76,9.767,5.491,9.37,11.536,9.307,15.644,14.10095,14.023,8.655,13.012,15.856,9.916,17.824,12.483,8.518,15.918,16.403,14.86,18.507,28.52,24.257,19.314
Romania,,12.506,12.605,11.731,9.934,11.208,11.774,10.689,11.086,13.481,12.499,10.872,14.107,11.64,12.709,12.916,16.529,15.597,17.345,18.701,18.107,14.63,14.774,15.886,13.129,16.352,20.012,18.176,15.844,17.052,15.399,20.103,16.064,14.805
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.855,9.937,9.468,10.436,11.772,8.58,9.2
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,3.434,4.311,4.831,4.185,4.026,4.236,4.46,4.601,5.038,5.373,3.5602,4.1,4.654,4.784,4.913,4.542,4.8832,5.911,4.827,5.42
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,3.379,2.974,3.348,3.187,3.616,3.046,3.4,3.715,3.841,3.813,3.367,3.044,4.159,3.546,3.672,3.351,4.271,4.862,4.702,3.846,4.283
Spain,,29.504,22.043,26.453,27.228,31.611,31.475,26.616,27.551,35.399,19.666,25.852,27.704,19.553,24.964,28.9,24.49,41.296,37.273,37.198,27.857,36.119,49.364,34.932,56.273,50.736,42.53,52.49,58.747,62.691,74.577,97.908,87.28,86.757
Sweden,,58.873,59.912,55.358,64.207,68.906,71.849,62.072,72.878,71.023,73.112,73.789,64.537,75.692,76.19,60.864,69.945,53.5596,71.404,77.61,74.215,82.598,82.774,70.745,58.522,68.373,81.37,71.45,77.586,81.603,79.894,82.642,83.747,96.967
Switzerland,,32.681,35.53,36.374,35.469,30.271,32.031,32.976,34.828,35.937,29.977,30.302,32.587,33.299,36.337,39.732,35.912,29.639,35.09557,34.648,41.245,38.226,42.742,36.764,36.393,35.421,33.05,33.021,37.244,38.119,37.813,38.246,34.702,40.155
Turkey,,11.288,12.413,13.81,11.13,13.209,11.826,11.674,18.364,28.509,17.666,22.997,22.575,26.419,33.745,30.41,35.494,40.33,39.79484,42.13771,34.565,30.899,24.152,33.673,35.243,45.878,39.44,44.176,36.217,34.165,37.869,55.319,57.686,64.637
United Kingdom,,3.921,4.369,4.543,4.548,3.993,4.081,4.768,6.295,6.204,6.095,5.806,5.321,6.407,5.819,7.255,7.235,6.068,7.387,9.181,10.121,10.438,12.028,13.945,13.438,16.263,19.443,20.45,21.451,23.292,26.902,27.124,36.254,40.2483
Eurasia,,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,221.024,230.697,232.679,231.975,241.948,247.181,237.171,214.026,215.578,223.456,226.764,228.936,238.598,227.289,225.109,249.706,247.34419,246.639,246.76298,238.43503,246.229,248.521,245.523,246.954
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,3.013,4.249,3.479,1.9,1.556,1.376,1.522,1.188,1.248,0.958,1.641,1.962,1.978,1.756,1.808,1.83698,1.78103,2.003,2.537,2.471,2.303
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,1.73,2.376,1.811,1.54,1.523,1.695,1.931,1.491,1.519,1.288,2,2.444,2.727,2.979,2.493,2.34,2.21,2.285,3.412,2.649,1.803
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,0.017,0.019,0.019,0.02,0.016,0.021,0.028,0.019,0.027,0.03,0.028,0.028,0.034,0.066,0.129,0.124,0.121,0.188,0.256,0.2567,0.202
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.008,0.007,0.011,0.017,0.017,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.197,0.541,1.044,1.181,1.477
Former U.S.S.R.,,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,221.024,230.697,232.679,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,6.439,6.536,6.704,5.151,5.94,5.987,6.308,6.378,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,7.338,9.273,7.811,7.151
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,6.797,7.553,9.087,8.248,7.258,6.434,6.08,6.071,7.456,8,8.801,8.539,7.976,7.777,7.691,8.09,7.386,6.811,7.943,7.805,7.564
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,9.195,8.994,11.607,11.007,12.132,10.825,9.844,12.021,13.546,12.306,10.679,13.381,13.953,12.66,12.347,12.609,10.023,10.115,10.997,13.998,14.037
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,2.498,2.846,3.272,2.908,1.842,2.924,2.992,2.731,2.795,2.811,2.459,2.315,3.165,3.381,2.759,2.801,3.181,3.521,3.6,3.0553,4.073
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,0.308,0.389,0.447,0.369,0.323,0.291,0.413,0.409,0.336,0.324,0.354,0.33,0.424,0.45519,0.431,0.577,0.599,0.68,0.906,0.935,1.179
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,0.255,0.371,0.275,0.321,0.362,0.378,0.387,0.363,0.392,0.359,0.348,0.358,0.35,0.359,0.365,0.354,0.385,0.354,0.403,0.348,0.266
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,172.006,173.449,174.868,175.266,153.379,156.579,158.461,160.992,165.034,175.122,163.558,156.345,176.283,174.005,174.827,177.767,166.129,175.552,168.101,167.512,167.938
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,15.769,16.947,16.524,14.45,14.677,13.576,14.008,15.273,13.774,14.064,15.012,16.173,16.176,16.797,16.534,16.943,16.642,15.741,16.236,16.038,16.731
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,0.004,0.005,0.004,0.004,0.005,0.005,0.006,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,7.725,10.929,11.997,9.853,8.546,9.757,15.759,14.18,11.167,11.928,9.553,9.177,11.668,12.277,12.792,10.087,11.442,11.86,13.072,11.322,11.129
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,6.218,7.284,7.084,6.126,6.46,5.719,5.7,5.626,5.817,5.899,6.124,7.544,8.92,8.544,9.068,6.336,11.246,9.237,10.738,10.138,11.098
