Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,5,5,6,7,5,3,5.06185,4.02652,3.02382,4.02924,3.90803,4.43332,4.57746,6.83251,8.14947,9.38714,12.67049,15.52828,23.66797,23.11035,20.50404,20.94088,17.90308,21.99452,19.81148,17.17389,21.46499,18.74113,18.44183,16.54395,14.98025,14.97749,14.58363,14.00572,14.07078
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0,-0.01458,-0.00804,-0.01308,-0.06146,-0.14273,-0.1406,-0.09501,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jamaica,,0,0,0,0,0,0,-0.65598,-0.41034,-0.37482,-0.46555,-0.58362,-0.37701,-0.57096,-0.19817,-0.32807,-0.49304,-0.42789,-0.4202,-0.41484,-0.22539,-0.55761,-0.411,1.30666,2.05014,1.50699,1.84236,4.58483,4.34633,5.70469,5.97811,1.148,2.159,2.203,2.203,2.203
Martinique,,0,0,0,0,0,0,0.02918,0.02652,0.02535,0.04889,0.01677,0.01855,0.01816,-0.13517,-0.09217,-0.08052,-0.07887,-0.07835,-0.0765,-0.0765,-0.07508,-0.06992,-0.06383,-0.08246,-0.08994,-0.0785,-0.09705,-0.08079,-0.08815,-0.24923,-0.24923,-0.249,-0.249,-0.249,-0.249
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,,4,4,4,4,4,4,-0.04836,0.68193,0.4485,-0.16795,-0.52805,-1.20941,-1.67435,-1.51979,-1.5017,-1.41023,-1.39489,-1.45815,-1.51524,-0.04502,-0.75737,-2.16916,-1.00718,-0.26368,-0.02917,-0.58477,-0.73755,0.53109,0.66101,-0.41157,1.76,1.048,0.981,0.981,0.981
Nicaragua,,0,0,0,0,0,0,-0.1612,-0.16503,-0.16053,-0.16566,-0.16926,-0.1283,-0.12946,-0.08209,-0.07825,-0.07669,0.01293,-0.14147,-0.48178,-0.44652,-0.38638,-0.49056,-0.394,-0.37958,-0.43606,-0.367,-0.41205,-0.37737,0.57379,0.61124,-0.3535,-0.106,0,0,0
Panama,,1,1,1,1,1,0,-0.43438,-0.45091,-0.15414,-0.13193,-0.14576,-0.62936,-1.24584,-1.19028,-0.58001,0.00989,-1.25158,-0.57986,-0.82758,-1.38141,-1.30457,-2.19515,-0.13995,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,,0,0,0,0,0,0,0.06416,0.06781,0.07196,0.07714,0.10436,0.07407,0.00008,0.0517,0.04531,-0.02366,-0.02031,-0.03267,-0.02226,-0.02654,-0.00267,-0.00243,-0.00925,-0.00574,0.09053,0.62697,0.8,1.1,1.7,2.2,2.3,2.2,2,2,2
Peru,,200,199,201,174,187,193,176.78192,162.14435,139.58026,128.74227,127.97529,113.79719,115.16208,125.88575,127.50041,129.8181,120.50372,119.33792,115.77884,107.19759,99.56547,95.99972,96.64867,92.01186,93.77919,112.14024,119.04757,115.93784,121.78463,148.86425,163.8378,159.78492,161.58896,176.12254,181.23137
Puerto Rico,,0,-1,-2,-1,2.4,-1,-1.01673,1.03909,1.0457,0.84358,1.8025,2.82655,1.53448,4.67653,3.31615,1.68011,1.82465,1.62863,1.37951,0.89397,0.45721,-0.13211,0.43608,0.72181,1.35395,1.34917,0.08543,1.3276,0.66277,0.53813,0,0,0,0,0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,1,2,2,3,4,3.9,3.5,5,5,6,7,7.49727,5,7,10,9.58533,9.49617,9.49617,9.46166,9.46111,9.43937,11.01819,12.96046,15.26682,15.41897,14.731,14.731,14.56433,13.731,13.731
Trinidad and Tobago,,213.9,243,182.8,163,173,178,166.41257,155.8284,155.90959,153.13521,148.91012,152.10907,140.00083,140.03942,137.37047,138.03412,136.9513,130.70942,129.51637,138.932,140.10014,132.72897,144.11158,161.17101,151.03687,170.75018,179.41381,156.51853,156.63383,153.36072,145.73196,137.78205,117.95225,116.75531,115.11138
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0,0,0,0,0,0,0.15302,0.24685,0.11182,0.08454,0.16485,0.27341,0.34317,0.1684,0.25,-0.00079,0.16605,0.46425,0.46641,0.50147,0.36619,0.51138,0.43503,0.51349,0.93574,0.97608,1.03742,0.96333,1.00084,0.76474,1.222,1.304,1.476,1.476,1.476
Venezuela,,2246,2177,1973,1874,1872,1757,1890.19818,1857.25159,2008.21083,2024.73204,2262.17979,2509.84308,2519.64924,2634.2971,2796.29424,2982.23845,3175.43852,3517.55363,3408.79676,3109.22194,3460.7588,3333.98838,2924.20405,2581.42877,2855.16767,2866.93064,2746.53371,2681.9924,2701.67963,2710.29315,2599.489,2684.373,2684.55,2684.55,2684.55
"Virgin Islands,  U.S.",,0,0,0,-1,-0.6,0.2,-5.45328,-4.11259,-2.99331,-4.49359,-0.78606,0.61679,0.38517,0.13236,8.40878,10.11069,11.89439,12.26959,13.65247,12.6063,14.68287,14.3349,14.65224,17.11124,17.619,17.5788,17.62282,16.86836,16.64497,16.76659,14.838,16.812,8.088,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,3047.74545,3244.5061,3643.6854,4134.1274,4463.51206,4637.52878,4763.99155,4815.47064,4797.33975,4686.16434,4818.27995,5053.06512,5345.47897,5601.57462,6527.15955,6874.21031,7294.88056,7282.80644,7230.13846,7294.93088,7166.34102,7226.22467,7170.54916,6962.5618,6591.29134,6166.06216,5777.47985,5445.4334,5225.13549,4983.42318,4656.43209,4299.73054,3989.13583,3813.14013,3869.94602
Albania,,44,44,64,75,55,55,54.61346,53.62027,43.57588,46.73581,29.71371,18.62471,10.33765,11.11899,11.40015,9.89735,9.64646,9.34538,6.41554,5.56864,5.6601,5.99404,6.32234,6.72214,6.69884,6.98491,7.81407,6.50125,6.03628,5.39109,10.87307,15.57307,16.84807,17.02022,20.51885
Austria,,30.3,28,29,28,27,25,25.17439,24.37353,26.76534,27.26606,26.61214,29.81708,27.44872,26.06411,26.29303,27.66064,26.66319,24.0133,25.70405,23.22929,24.74692,25.28533,26.89388,25.90854,26.46189,24.91999,26.61742,27.68311,27.9259,28.19153,28.71441,30.53421,29.32107,24.68284,26.51845
Belgium,,8,8,9,10,11,11,6.06952,5.55078,8.19025,10.61705,10.57794,9.12369,10.38858,9.79499,12.69104,12.12327,11.45889,10.96599,10.91118,11.79916,10.21812,12.3046,13.06085,11.06035,10.68759,8.69059,11.914,11.2241,11.218,12.60347,12.70007,10.53035,11.601,12.936,12.936
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07291,-0.05931,-0.09745,-0.0936,-0.013,0.074,0.135,0.135,0.135
Bulgaria,,3,3,3,3,4,6,-0.17701,0.09789,-1.53749,4.72227,3.49063,0.03394,0.40748,0.59237,0.22167,1.05968,1.61687,0.85563,2.23854,2.63432,1.96207,1.16243,2.64813,3.12806,3.66126,3.35651,3.37787,3.12498,3.51701,3.3409,3.589,3.447,3.581,3.581,3.581
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,40.7932,42.56105,47.80146,41.75348,37.87669,38.56818,40.35658,33.43373,33.41747,32.4094,31.22241,31.33015,28.77786,27.69091,25.62869,23.83584,22.09883,24.4447,23.53856,21.40205,20.11533,20.27926,18.35597
Cyprus,,0,0,0,0,0,0,0.01948,-0.01473,-0.01127,0.02266,0.04659,-0.03449,-0.12105,-0.20818,-0.1362,-0.16718,0.05352,-0.28656,-0.31733,-0.36819,-0.36403,-0.35684,-0.25876,-0.19136,-0.07285,0.02,0.02,0.02,0.2,0.2,0.1,0.1,0.00847,0,0
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,2.49684,2.78653,3.90668,5.28298,4.52385,4.58905,9.58684,9.36243,9.24546,12.47535,15.34589,17.16676,17.54448,16.08937,13.74412,11.62657,10.38968,10.28301,13.01232,10.27347,10.677,10.677
Denmark,,5.2825,14.7459,34.1658,44.3428,45.86096,58.07495,76.18792,96.88202,98.85976,116.94032,121.12745,143.63123,163.42971,174.33727,185.61003,187.30654,210.06396,233.25498,240.62451,302.63873,365.17927,348.98958,373.43236,378.40922,392.7449,380.78402,345.75681,315.27971,290.46789,264.30807,249.46475,226.17435,207.13018,180.72017,170.56871
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,-0.4318,0.8412,2.0142,3.0672,4.18552,4.22003,4.76423,5.38922,5.44508,5.23831,5.71853,6.57835,7.4276,7.53177,8.91368,9.24073,8.94997,8.35945,9.11999,8.9777,8.27969,7.8004,9.01284,9.28445,9.15518,9.17124,10.111,9.78874,8.718,9.54122,15.30335,14.2309,13.357,9.951,9.951
Former Czechoslovakia,,2.08975,2.09,2.1,2.1,-4.48773,-4.27101,-2.71614,-2.20843,-0.84436,-0.17926,0.84412,2.14145,2.23293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,22.684,22.57744,26.60528,24.87931,24.79993,22.58078,21.38143,20.93529,18.74295,18.1593,17.16277,16.55189,16.41191,15.58606,--,--,--,--,--,--,--,--,--
Former Yugoslavia,,88,88,89,87,84,90,87.11762,89.78293,87.39078,76.84745,71.75255,67.70763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,83,92,86,89,93,106,107.18935,111.38053,119.31637,116.16082,111.52665,112.95266,114.07538,112.4889,115.78538,110.01077,105.20895,97.28428,89.21636,92.58357,93.20904,90.13303,86.21381,90.23643,89.10493,84.25015,89.19899,74.63232,77.166,76.31161,76.5425,75.88213,65.70037,62.32453,61.40399
Germany,,--,--,--,--,--,--,--,--,--,--,--,148.01887,131.71644,136.88703,127.04025,125.56914,125.60148,125.1802,128.99952,129.6182,134.96042,129.52011,135.70219,139.07225,124.67114,153.7431,166.60012,120.22293,137.69497,146.23887,139.86733,158.12774,161.15644,162.76738,159.03588
Germany (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,9,10,12,16,17.111,18.6137,21.00274,22.6694,23.7589,26.5863,25.2411,17,11,6,3,2,1,1
"Germany, East",,-6.216,-6.616,-7,-5.598,3.89993,0.60049,1.08007,1.81014,2.23889,2.53431,3.95705,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,124.431,108.468,116.652,129.087,139.973,148.213,147.583,143.369,154.64378,149.22541,150.9715,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,1,10,24,28.5,31,30,24.12287,24.63208,24.40281,20.627,18.88087,19.06196,19.8002,15.41604,14.42113,12.17144,10.7052,11.63871,9.64599,3.29279,7.65055,8.01615,6.6362,5.41931,5.23814,5.74675,6.58436,5.13801,6.612,6.41675,8.47986,7.57805,8.9574,8.82958,8.74464
Hungary,,58,58,62,61,62.6117,63.20489,63.67566,60.20391,64.93717,53.51736,57.70308,49.13884,48.65675,47.03622,62.9286,60.39753,62.70028,68.08731,53.57011,49.62203,49.41499,48.74078,42.95741,45.52935,47.53454,42.27903,39.49466,32.81692,37.74423,35.36659,34.45847,27.64039,27.83737,27.854,25.26496
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,-0.614,-0.1978,-0.1122,-0.1368,-0.13203,-0.14236,-0.23,-0.21023,-0.10048,-0.07443,-0.21113,-0.22965,-0.22982,-0.24379,-0.37638,-0.25154,-0.25269,-0.36858,-0.4165,-0.36543,-0.40643,-0.22507,-0.11943,-0.04206,-0.15343,-0.05116,-0.182,-0.5571,-0.431,-0.2957,1.07504,0.72561,1.015,0.923,0.923
Italy,,68,68,65,78,82,84,67.08692,85.02164,108.86679,101.59421,109.38149,104.16806,112.43841,112.89483,118.46082,126.39341,136.19581,148.77165,143.78689,122.08842,134.52177,122.24008,129.83887,142.88928,153.21067,164.81356,164.53947,168.60951,164.20675,145.52558,156.14281,152.72141,150.99221,160.50934,169.42715
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,-0.39621,-0.24952,0.05567,-0.0116,-0.0246,-0.17245,-0.10194,-0.14626,-0.14587,-0.18961,-0.12991,-0.08006,-0.07814,-0.04487,-0.04388,-0.06623,-0.09732,-0.1457,0.02,-0.05,0.01,0.01,0.01
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.02,0.02,0.02,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0
Netherlands,,30.747,33.368,52.568,66.527,82.39767,100.79353,123.43396,118.31235,108.70178,99.3767,107.71648,106.1707,86.40051,90.22204,74.03129,71.73465,76.53106,74.87502,76.36436,70.49987,72.18552,63.1591,57.61932,51.17223,48.59418,47.50539,41.63395,41.12248,35.32403,37.83117,34.84203,40.98095,42.94361,39.83699,40.28082
Netherlands (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.22702,45.9726,36.2377,32.74247,32,20,16,18.32603,40.7589,49.77562,47.62842,36.98356,32.57534,43.89315,34.07377,25.56438,20.30137,17.5863,16.99727,17.80548,23.26301
Norway,,528.743,513.818,533.739,664.137,755.697,826.742,910.26988,1056.23435,1199.27302,1569.52884,1724.57074,1962.17599,2224.92447,2384.64443,2700.45181,2909.93425,3240.89048,3289.61074,3146.59724,3147.84047,3354.60925,3422.98368,3341.88449,3272.95665,3196.58757,2978.13152,2786.4723,2564.89394,2464.52219,2352.55525,2144.43973,2042.5147,1921.71905,1845.05438,1904.38315
Poland,,8,8,5.5,5,5.78528,5.83648,6.37395,5.68756,5.74098,4.4209,4.50988,5.07251,6.60849,8.25439,8.56427,8.26511,9.18497,10.48058,13.87213,17.84058,22.8069,24.7933,23.01736,22.54004,34.79125,39.26743,40.228,35.2317,36.30423,34.24601,28.65921,28.33946,28.25704,34.22366,39.25653
Portugal,,-2.621,-2.2548,-3.0638,-2.7628,-1.43238,-0.84516,-0.38117,-0.43786,0.29277,-0.41416,-0.27221,-0.92524,-1.17171,-0.77163,0.65986,2.83669,2.98686,3.38499,3.15656,3.05958,2.40889,3.88537,3.74534,4.53724,3.84869,4.05163,5.591,6.35641,7.4751,5.41664,5.57404,5.17594,5.318,7.079,7.079
Romania,,252,255,255.7,255,252,235,232.5671,226.82858,202.89889,189.85284,167.10147,145.82648,146.93911,142.78781,149.11362,148.97685,150.24095,149.59153,147.41622,139.92581,137.15915,139.5882,140.42832,133.6582,131.63173,124.72227,116.64128,115.65089,116.98435,112.69891,107.32595,105.54114,101.59799,103.64762,103.15767
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.9475,16.85736,18.51229,19.99119,23.697,21.37682,19.82227,21.32089,20.66336
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,0.79966,1.09459,1.9769,2.0734,2.01305,1.70563,1.55202,3.19072,4.0666,8.99217,9.8725,11.16119,12.86667,12.923,8.60999,10.66187,7.53781,7.68135,9.85793,8.804,9.061,9.061
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,-0.13579,0.0046,-0.10457,-0.04579,0.01939,-0.05498,0.07271,0.02237,0.02833,0.01557,0.01505,0.01185,0.006,0.105,0.105,0.105,0.165,0.145,0.405,0.305,0.305,0.305,0.305
Spain,,12.92,3.94,12.58,45.821,37.11099,40.15802,46.7563,43.75559,45.63417,38.73086,37.37874,41.7663,42.53642,34.24195,34.40983,32.26239,26.49762,22.82288,24.86683,21.93818,23.82755,27.65527,27.8576,33.16977,37.88717,37.54667,38.26052,28.20955,27.55867,29.48995,28.75125,28.45621,34.20273,40.99099,40.07318
Sweden,,-6.175,-4.3418,-3.4278,-3.7348,0.05794,0.26928,1.97853,2.49037,2.37445,1.6453,1.59095,0.90224,1.25336,1.1152,0.77456,2.1056,2.12613,1.7583,1.92564,2.3186,1.56605,2.07054,3.50085,4.11898,4.60833,3.94963,5.27,7.27194,9.187,11.19146,10.41947,11.26664,12.296,11.701,11.701
Switzerland,,1.067,1.2932,1.1242,1.0718,1.29755,1.59302,1.74176,1.62531,1.40868,1.20937,1.16354,1.37516,1.1749,1.44166,1.59019,1.56494,1.72418,1.96453,2.19205,2.04627,1.70653,1.81901,1.94969,1.62806,3.36102,3.32237,3.955,3.50384,3.748,3.87793,3.60576,3.61281,3.012,3.87,3.87
Turkey,,40.973,43.7442,45.692,40.591,39.61904,39.60467,44.61519,48.4569,46.1589,53.38475,70.27655,85.28869,80.96551,74.14588,71.56944,66.13174,66.14749,67.23381,66.12644,58.38086,51.41923,46.82814,47.0884,45.81582,42.92824,45.96485,45.04999,45.84311,48.6837,54.59644,57.72399,57.28999,58.64183,60.01884,61.44623
United Kingdom,,1674.25,1873.608,2164.454,2430.115,2652.0676,2711.47695,2735.07471,2612.83695,2442.71679,1996.6336,1982.15062,1994.67796,2044.89374,2143.59226,154.09759,163.89007,171.1379,167.23897,168.86661,147.37747,127.06681,117.22529,114.03407,103.35888,96.82753,91.46146,89.61018,88.88485,87.44416,87.38141,87.13009,82.65457,82.79889,86.71822,86.79196
