Locality,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Europe,,17.1,21.15,29.3,39.33,48.85,76.82,123.86,153.8,198.05,232.18,254.743,254.026,239.385
Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0.003
Austria,,0.4,0.4,0.5,0.6,1.1,1.6,2.4,5.5,5.7,8.6,8.2,8.7,9.9
Belgium,,0,0,0,0,0,0.02,0.49,3.2,5.8,10.6,13.5,15.2,15.5
Bosnia and Herzegovina,,0,0,0,0,0,0,0,0,0,0,0.002,0.04,0
Bulgaria,,0,0,0,0,0,0,0.1,0.2,0.2,0.4,0.6,0.4,0.2
Croatia,,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,1.09
Cyprus,,0,0,0,0,0,0.02,0.02,0.02,0.2,0.2,0.1,0.1,0.18
Czech Republic,,1.3,1.4,2,2.23,1.7,2.5,2.5,2.2,2.8,5,6,6,5.9
Denmark,,0,0.49,0.78,0.88,1.3,1.4,1.4,1.4,1.8,1.71,1.8,2.8,2
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0,0,0,0,0.05,0.22,0.4,1.35,2.5,4.5,5.9,4.2,5.2
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,0,0,0,0,0,0,--,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,7.9,7.9,8.4,9,9.4,10.9,16.6,28,50.4,58,55,51.4,49.7
Germany,,4.3,5.4,8.8,14,20.4,35.8,59.4,63.8,65,58,62,70.535,68.07
"Germany, East",,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,0,0,0,0,0,0.06,0.9,1.8,1.3,1.4,2.4,2,2.3
Hungary,,0,0,0,0,0,0.1,0.6,0.7,5.1,5.1,6,5.8,4.32
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,0,0,0,0,0,0.02,0.04,0.4,0.6,1.4,1.3,1.1,0.9
Italy,,1.6,2.8,4.1,5.3,6.2,7.8,13.8,10.2,14.1,16.6,16.5,12.2,10.71
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,0,0,0,0,0,0,0,0.05,0.01,0.01,0.04,0.05,0.05
Malta,,0,0,0,0,0,0.04,0.04,0.02,0.02,0.02,0,0,0
Montenegro,,--,--,--,--,--,--,0,0,0,0,0,0,0
Netherlands,,0,0,0,0,0.2,0.1,0.65,1.9,2.2,5.4,9.5,13.6,9.4
Norway,,0,0,0,0,0.1,0.1,0.1,0.1,1,1,0.001,0.001,0
Poland,,0,0,0,1,0.2,3.2,4,2.9,7,9,10.5,9.7,13.3
Portugal,,0,0,0,0,0,0.02,1.6,3.5,3.3,4.9,6,5.5,5.2
Romania,,0,0,0,0,0,0,0.2,0.7,1.3,0.7,1.7,1.9,1.9
Serbia,,--,--,--,--,--,--,0,0.5,1,1.5,1.5,1.5,0
Slovakia,,0,0.7,0.1,0.04,0.3,1.5,1.7,1.4,3.6,4,4,3.2,2.695
Slovenia,,0,0,0,0,0,0.1,0.1,0.1,0.16,0.14,0.4,0.3,0.1
Spain,,1.6,1.6,3.5,5,6.2,8.2,8.2,10.5,10.3,21,24,19,16.6
Sweden,,0,0.46,1.06,1.08,1.4,1.6,2.3,3.7,4.5,6.5,7.5,8.4,7.9
Switzerland,,0,0,0,0,0.1,0.12,0.22,0.26,0.26,0.1,0.1,0.1,0
Turkey,,0,0,0,0,0,0.5,1.1,1,1.1,1,1,1.1,0.467
United Kingdom,,0,0,0.06,0.2,0.2,0.9,5,8.3,6.7,5.3,9,9,5.8
Eurasia,,0,0,0,0,0.34,0.6,0.82,1.37,3.2,5.1,4.48,3.67,3.662
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,0,0,0,0,0,0,0,0,0.2,0.5,0.72,0.71,0.5
Estonia,,0,0,0,0,0,0.1,0.02,0.02,0.4,0.5,0.06,0.05,0.05
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,,0,0,0,0,0,0,0,0.05,0,0.5,0.1,0.01,0
Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,,0,0,0,0,0.2,0.3,0.3,0.5,0.9,1.2,1.1,1,1.26
Lithuania,,0,0,0,0,0.14,0.2,0.5,0.8,1.7,2.4,2.5,1.9,1.852
Moldova,,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
Jordan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.345,0.54,1.02,0.79,0.69
Algeria,,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,0,0,0,0,0,0,0.1,0,0,0,0,0,0
Congo (Kinshasa),,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Gabon,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02
Namibia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,0,0,0,0,0,0,0,0,0.005,0.04,0.06,0.13,0.13
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0.1,0.5,0.2,0.2
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,,0,0,0,0,0,0,0,0,0.04,0.06,0.12,0.12,0.02
Asia & Oceania,,2.9,3.1,8.32,17.24,21.1,28.22,44.9005,49.222,75.573,93.90589,101.73875,133.34237,148.79337
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,0,0,0,0,0.1,0.6,1.7,2.1,3.4,4.35743,6.20365,6.96187,6.63728
Bangladesh,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,,0,0,0,0,0,0,0,0,0,0.6001,0.0805,0.0005,0
China,,0,0.1,5.1,13.9,17.3,21.5,32,30.7,39.4,47.73363,46.45844,53.54093,58.9002
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.03
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0
India,,2.9,3,3.2,3.3,3.5,3.9,4.5,4.7,5.2,3.01566,2.41253,8.04751,7.23759
Indonesia,,0,0,0,0,0,0.2,0.5,1.2,2.2,5.88668,12.85194,31.11824,37.91119
Japan,,0,0,0,0,0,0,0.1005,0.102,0.103,0.41358,1.03394,0.6376,0.67206
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",,0,0,0.02,0.04,0.1,0.2,0.9,1.7,3.2,5,6.5,6.3,7.04
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,0,0,0,0,0,0,1.1,2.5,4.5,4.50271,1.6226,1.03441,2.85949
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,0,0,0,0,0,0,0,0.02,0.06,0.12,0.12,0.14,0.19
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,0,0,0,0,0,0,0.8,0.6,0.6,0.3,0.2,0.2,0
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,,0,0,0,0,0,0.2,0.4,0.6,1.11,2.5,3.4,3,2.59
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0,0,0,0,0,0.02,0.3,0.7,2,1,0.5,0.5,0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,,0,0,0,0,0,0,0,0.1,0.4,0.7,0.5,1.5,1.1
Thailand,,0,0,0,0,0.1,1.6,2.6,4.2,13.4,17.7321,19.14515,19.23131,23.62556
Timor-Leste (East Timor),,--,--,--,0,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,0,0,0,0,0,0,0,0,0,0.044,0.6,1,0
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,314.5667,342.86511,403.46556,499.40828,554.7574,656.27391,840.57053,1103.30749,1477.32083,1634.90528,1866.3916,1915.79959,1901.34837
