Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belize,,1.6,1.5,1.4,1.4,1.5,1.53288,1.90646,1.58139,1.12929,1.57619,2.21573,2.47244,2.11801,2.10791,1.99915,2.29397,1.93577,3.1909,3.21037,3.25718,4.70555,6.2617,6.0083,6.28537,6.75418,7.12225,7.20362,7.3257,3.55266,3.49537,3.49333,3.49537,3.48582,3.5,NA
Bolivia,,25,26.5,25.1,24.5,24,21.51937,21.11245,21.3061,23.11357,24.33508,25.18491,25.59309,27.184,27.82535,30.44952,32.71189,34.78508,36.44767,40.40893,43.47235,45.10438,46.74128,46.72355,46.25618,48.2202,49.39877,50.15054,60.78083,56.8607,57.12506,61.36614,64.30844,71.36093,71,NA
Brazil,,1148,1085,1061,980,1033,1079.38243,1237.70878,1263.13502,1300,1317.13378,1466.4921,1484.18904,1520.57956,1579.6569,1673.93995,1788.43395,1904.35022,2030.68442,2095.91724,2130.31388,2121.2849,2116.07876,2101.59593,2035.68281,2122.80671,2171.22366,2197.02865,2296.54789,2441.47787,2459.30318,2698.95061,2776.56374,2922.93354,3003,NA
Cayman Islands,,0.7,0.76,0.76,0.74,0.76,0.78717,0.78775,0.81323,1.86178,1.88732,1.93603,2.05189,2.09836,1.99711,2.17258,2.35456,2.36495,2.37142,2.41359,2.41359,2.38661,2.41359,2.41359,2.50085,2.6982,2.81844,3.19153,3.70011,4.49118,3.73049,3.75386,3.73049,3.73049,3.7,NA
Chile,,107,104,102,96,101,98,104,108,120,135,145,153,165,179,196,212,232,245,255,261,239.6178,233.4507,239.654,248.4896,263.4087,272.3567,278.1712,351.7055,369.8989,367.6145,322.883,332.1523,340.015,339.7041,321.8274
Colombia,,160.7,163.7,167.6,171.8,174,171.47296,171.82411,184.57288,198.4414,208.53212,208.90576,209.87846,232.5302,240.21925,244.40726,250.63311,278.1295,286.51395,289.01999,282,277.48742,271.18171,256.19847,265.35573,267.51582,270.70806,276.97011,270.18888,265.21918,259.6515,269.88304,294.27272,321.20614,324,NA
Costa Rica,,16,16,15,16,13.83898,14.72633,13.44103,15.7446,18.0471,19.55892,18.75137,19.93904,24.85027,27.02653,28.06408,31.26808,30.07744,31.00835,34.96511,35.74551,36.28123,37.5861,39.66431,41.92412,41.56274,40.61221,45.72419,48.63008,49.63222,47.59215,48.66709,49.48997,49.67203,50,NA
Cuba,,202.5,207,223.5,205.6,212.8,217.2759,222.91175,218.61368,221.17778,224.80233,219.54984,203.67,180,179.45177,182.95252,187.41167,192.41821,200.00222,194.0049,194.99763,195.00103,203.59865,201.51358,204.84513,228.50067,198.03543,157.0871,161.31249,141.39659,169.55057,163.93917,170.69957,170.16,170,NA
Dominica,,0.19,0.25,0.25,0.25,0.25,0.28615,0.28652,0.30989,0.40306,0.42753,0.42753,0.42753,0.42637,0.44794,0.51589,0.57929,0.57929,0.58088,0.60425,0.60425,0.58913,0.74847,0.81564,0.88282,0.77183,0.66956,0.83819,0.85863,0.91177,0.91586,0.91586,0.91586,0.91586,0.9,NA
Dominican Republic,,37.8,36.6,39,46.8,41,42.4,47.00046,52.49801,58.31428,58.12978,64.25879,62.39466,64.33064,58.72572,67.89208,71.90728,77.98142,84.12302,86.24738,99.24097,110.06245,113.95028,116.15299,115.27981,114.07414,115.41066,116.72584,118.71721,122.29318,113.06019,112.9013,113.76304,115.62524,115,NA
Ecuador,,84,88,95,85,83,86,91.77466,90.18777,93.21487,90.16595,97.31888,103.99739,119.14655,111.85807,119.7648,123.3772,129.17257,134.87897,137.23483,128.39666,133.53807,139.96972,141.72825,146.05752,151.89558,159.40565,173.53798,202.04866,221.66646,234.44652,242.6371,244.49751,250.53862,254,NA
El Salvador,,14,12.2,11.7,13,13,13.72381,14.94011,14.61274,16.18885,15.76477,16.47863,19.16341,22.04559,22.32252,25.27345,31.11336,30.3676,32.15894,37.79298,38.30772,38.06215,39.40596,39.01227,42.3555,41.9346,43.36019,44.26823,44.77912,41.89345,43.03511,43.18622,44.11808,45.47026,45,NA
Falkland Islands (Islas Malvinas),,0.08,0.08,0.08,0.08,0.08,0.10066,0.10074,0.10074,0.20238,0.18688,0.16644,0.16644,0.16598,0.16642,0.16644,0.18688,0.21041,0.23142,0.18762,0.18762,0.1871,0.18762,0.20805,0.20805,0.22787,0.24893,0.27085,0.31247,0.31247,0.31247,0.31247,0.31247,0.31247,0.3,NA
French Guiana,,2.52,2.19,2.72,2.8,2.22,2.23438,2.62105,2.83039,3.33523,3.76306,4.50081,5.08159,4.04117,5.39531,5.39534,6.16334,6.1465,6.16334,6.26803,6.26803,6.3362,6.35356,6.52838,6.81129,6.61814,6.8934,6.95419,6.70907,6.20832,5.4562,6.49173,5.4562,5.4562,5.5,NA
Grenada,,0.33,0.38,0.42,0.4,0.42,0.4295,0.47266,0.50663,0.54383,0.56575,0.88762,0.88762,0.90951,0.99867,1.17751,1.09863,1.234,1.55003,1.38655,1.38655,0.95656,1.60636,1.7449,1.75915,1.77601,1.8203,1.92331,1.91332,1.97641,2.01202,2.00411,2.01202,2.01202,2,NA
Guadeloupe,,3.47,4.93,6.2,6.5,7.1,6.5,6.6865,7.46306,8.13631,9.10058,9.7829,10.23283,9.56005,10.9918,11.37436,11.66863,11.55281,11.75825,11.75825,11.75825,12.4268,12.65964,12.87597,13.39367,13.71986,14.41088,15.07622,16.6431,16.96504,14.67668,14.67668,14.67668,14.67668,14.7,NA
Guatemala,,28.9,25.3,25,26,23,25.99494,23.16902,23.32964,25.49354,25.88022,27.20581,25.92535,30.94802,33.73368,38.46295,41.13279,43.97288,48.45948,58.08549,59.15939,59.28765,65.9002,64.5576,64.98263,67.565,70.28645,70.53295,73.62677,66.62255,76.08702,68.12034,68.80323,70.18146,69,NA
Guyana,,9.8,11.5,9.3,8.3,9.3,9.47505,9.0874,6.84132,6.80096,4.58742,4.39995,4.99967,5.87568,7.13063,7.14145,6.23836,6.717,7.36252,9.29123,9.85699,10.80984,11.09808,11.27318,11.07882,10.06902,10.98573,10.54776,10.47773,10.67795,10.80959,10.74539,10.80959,10.80959,10.8,NA
Haiti,,6,4,5,4,4,4.79265,5.07616,8.27,9.03946,8.519,4.73178,4.68915,5.40984,4.26465,3.70852,6.31781,7.4715,9.43115,8.92838,10.03381,10.32929,11.23088,11.59627,11.54638,11.83667,11.97918,12.28175,13.48173,16.58803,15.42578,14.15485,15.42578,14.72293,15,NA
Honduras,,12,10.8,11,11.7,11.8,11.11156,11.69586,11.80894,13.1656,16.00156,17.77404,17.47428,18.13867,18.18464,20.37973,22.97041,25.455,25.29386,29.00879,30.62668,28.10656,33.00392,36.33874,36.53923,41.85377,44.09142,46.20162,50.93071,48.69175,43.75258,46.02121,47.06647,51.16282,49,NA
Jamaica,,53,46.3,38.8,41,35,31.4875,30.83476,33.05491,38,43.1052,45.69241,47.18744,51.00438,52.10493,54.54629,59.72756,62.06017,66.05704,66.73451,68.5862,65.64429,66.20467,67.77564,70.43461,71.3326,68.97398,77.92538,82.44764,80.34852,58.05093,51.45354,54.22189,51.73792,53,NA
Martinique,,4.53,4.53,4.48,4.44,3.9,4.78169,5.06952,5.74052,6.82916,9.73282,10.49894,8.58072,9.5278,12.90592,12.80249,13.09718,13.11409,13.12681,13.1527,13.1527,13.34537,13.45738,13.66651,14.23659,14.67062,15.51688,15.4885,16.09932,14.33585,16.87007,16.88873,16.87007,16.87007,16.9,NA
Montserrat,,0.12,0.14,0.14,0.14,0.14,0.15161,0.15186,0.17304,0.19587,0.19641,0.25773,0.24022,0.28033,0.28107,0.2811,0.3249,0.30071,0.32197,0.34534,0.34534,0.37063,0.37164,0.37164,0.41545,0.45801,0.48263,0.52058,0.56438,0.57256,0.56847,0.56847,0.56847,0.56847,0.57,NA
Netherlands Antilles,,109,100,95,89,85,70.7,69.20167,69.624,64.82,68.665,67,63.51962,62.73069,63.0635,65.90653,69.47081,69.29403,73.72532,73.65624,71.18464,70.96349,71.86007,70.50978,65.75789,66.39284,69.94149,73.1393,75.62523,87.08532,79.04042,79.47327,89.87163,90.39999,90,NA
Nicaragua,,13,13.4,13.4,12.8,12.1,13.93296,13.88025,13.84675,14.21045,13.98612,13.34231,12.68457,15.11796,15.07699,16.11862,17.48075,18.53036,19.54923,22.36694,23.96354,24.01982,25.57661,25.4155,25.64036,27.17102,28.60345,28.25023,29.24792,28.01715,28.28525,28.19419,31.05101,30.19877,30,NA
Panama,,78,77,73.5,75.5,74.5,64.82111,66.50279,69.80683,67.6651,66.06478,70.33984,70.28168,72.28416,70.89756,81.32498,85.92208,72.28111,76.56215,84.65897,78.40026,77.38338,80.28356,76.59439,77.57036,88.02798,84.3049,86.35461,89.49351,52.01077,97.67033,116.63575,124.86471,133.49567,134,NA
Paraguay,,9.9,9.1,9,9.5,10.4,10.56066,10.84084,13.75135,12.95687,16.54674,15.84875,14.70274,16.51158,17.67763,20.49301,22.77519,19.18858,20.88196,23.89138,26.94353,25.09844,24.06136,25.05413,26.02275,26.09367,25.81028,25.98254,26.33079,28.10751,28.88402,31.22364,33.82789,35.88137,35,NA
Peru,,133.3,137.1,136.3,124.4,127.2,125,135.15601,138.40467,141.40704,121.12271,121.1738,112.83057,119.23847,125.97279,132.34,143.00449,153.38766,156.54981,158.64263,160.52123,156.795,153.87177,152.33588,154.22394,161.95668,157.73374,170.08984,165.72279,186.48542,188.23158,205.99197,215.75993,224.47264,226,NA
Puerto Rico,,200,219,158.8,152,167,144.58082,155.5189,161.7863,147.45902,143.07397,140.15781,175.60548,155.58016,162.15986,165.37452,169.0729,174.86601,179.24658,183.54,189.13507,201.35484,213.86416,212.04521,217.80925,222.76292,215.2137,210.73122,191.31781,166.50096,155.61563,146.08791,142.53404,147.14183,143.957,133.65618
Saint Kitts and Nevis,,0.36,0.38,0.44,0.36,0.36,0.36329,0.36359,0.38403,0.44779,0.44901,0.44901,0.51107,0.50967,0.57605,0.67973,0.62197,0.70117,0.7031,0.7031,0.7031,0.70117,0.7031,0.7031,0.78852,0.87156,0.91775,1.22507,1.69882,1.69418,1.78425,1.69028,1.69028,1.69028,1.7,NA
Saint Lucia,,0.8,0.63,0.76,0.7,0.7,0.88157,0.88274,0.97995,1.19844,1.20173,1.20173,1.20173,1.24213,1.22216,1.3883,1.40874,1.40489,1.47299,1.47299,1.47299,2.32811,2.43668,2.49222,2.73718,2.67809,2.63126,2.7471,2.90077,2.97138,2.91407,3.04106,3.04106,3.04106,3,NA
Saint Vincent/Grenadines,,0.27,0.25,0.27,0.27,0.25,0.29208,0.29244,0.31581,0.38077,0.5637,0.58808,0.5637,0.60292,0.5637,0.89447,0.94121,0.93863,1.00597,1.19085,1.19085,1.21191,1.23438,1.30704,1.37677,1.46776,1.46044,1.45096,1.47433,1.4703,1.47433,1.51368,1.51368,1.51368,1.5,NA
Suriname,,14.2,12.2,11,8,6.7,8.575,8.50685,7.15834,7.929,8.7,10.542,9.72756,9.20224,9.61605,9.42397,9.73022,9.54,9.81902,9.91781,9.91781,10.3277,10.88293,11.45564,11.72637,12.2155,12.57825,12.94095,13.10701,13.03548,13.20789,17.17963,17.17963,17.17963,17,NA
Trinidad and Tobago,,42.1,39.2,29.9,25.7,24.7,24,23.19845,20.61784,18.38824,21.09536,20.4012,21.39606,21.85703,21.40276,23.9254,21.70389,20.43944,22.46769,21.84187,23.35226,24.67671,28.99946,28.3146,31.34004,32.44875,34.93783,37.16455,38.56233,41.41216,37.25045,40.52983,41.05977,43.11052,42,NA
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08894,0.08894,0.08894,0.09783,0.09783,0.09783,0.10816,0.08378,0.08378,0.08355,0.08378,0.08,0.47008,1.04236,1.06279,1.259,1.26105,1.26105,1.3,NA
Uruguay,,40,36.4,34.4,27.4,26,24.30757,23.28041,26.60338,33.29443,32.04318,31.1888,29.5225,31.93601,34.88224,33.2786,30.95978,34.15273,37.11147,44.17886,48.37612,43.17581,34.10713,37.04171,36.69401,38.47339,40.14169,46.7988,45.30175,59.5088,59.2831,54.23052,60.8824,65.82933,64,NA
Venezuela,,400,433,427,400,379,383.24,401.55752,404.41274,396.93097,387.6502,395.5902,405.002,413.81454,426.95442,440.28187,448.46696,443.80883,454.5653,456.75653,461.21041,499.70728,544.46617,570.67316,540.64298,572.84573,633.15155,677.97502,619.5447,680.97467,705.54093,688.2489,713.22443,731.38763,746,NA
"Virgin Islands,  U.S.",,117,105,75.8,54,63,70.5233,46.78836,54.7863,39.32787,59.98356,54.95616,55.55342,55.36612,53.44658,55.85479,56.56575,56.89617,58.26438,60.29589,62.43562,66.08131,91.69868,93.24432,108.77621,110.89677,108.74795,115.5452,109.42244,90.75769,111.25516,106.3803,115.56576,116.99997,119,110.48498
"Virgin Islands, British",,0.16,0.25,0.25,0.25,0.23,0.23622,0.25773,0.30153,0.32109,0.34241,0.34241,0.34241,0.36478,0.36576,0.36578,0.36578,0.41139,0.41252,0.41252,0.41252,0.41139,0.41252,0.41252,0.47677,0.60434,0.64981,0.69142,0.75189,0.783,0.77261,1.17891,0.77261,0.77261,0.8,NA
Europe,,16058.44734,14803.62121,14289.06688,13927.61099,13818.22699,13788.48445,14192.20206,14333.11301,14516.28395,14557.15783,14695.74466,14800.53625,14967.31306,14928.6577,15044.74934,15381.53173,15688.24802,15852.7007,16151.78969,16022.82942,15924.26145,16104.79966,16065.79909,16179.09883,16280.38727,16403.80087,16402.29154,16245.83659,16139.57065,15375.80054,15377.0576,14894.58574,14409.84237,14233.2359,NA
Albania,,46,44,43,43.6,43,41.53,38,33.77055,31.9263,27.0183,20,17.86317,20.54189,16.72753,13.2926,14.82916,11.67539,12.47337,15.02839,18.03823,21.03669,22.68161,24.27649,27.39992,28.82831,31.20335,31.88928,31.71338,27.16714,26.42815,25.81377,26.31143,22.643,25,NA
Austria,,232,225,209,207,202,198,206,209,205,205,217,234,229,235,233,233,254,254,266,253,250.4432,266.7507,273.3348,288.5049,295.0399,298.969,298.5241,293.057,284.4937,269.3841,277.6373,263.6847,260.5536,264.0348,261.7337
Belgium,,522,481,445,407,385,405,454,457,470,462,463,497,509,500,553,550,593,611,622,593,606.3169,609.0784,617.2534,654.5605,656.5464,664.1222,642.4901,649.2025,702.1131,638.0899,669.3756,628.543,606.5667,629.4712,630.4227
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,35.42,22.85933,19.65932,19.10099,18.37128,18.446,20.73836,21.36151,19.23178,19.28447,20.12625,21.76819,25.00901,26.04668,25.78386,26.00411,29.65989,33.9289,35.2474,35.39866,33.05653,34,NA
Bulgaria,,306,294,295,294.6,294,290,285.9,275.39438,276.88694,235.17426,193.05367,120.76554,129.71997,117.48665,126.24214,130.56943,118.57268,106.7719,103.03797,97.2558,99.8835,101.30681,105.73424,102.21437,99.45404,103.89735,105.04728,105.35857,104.27342,98.53575,90.33471,83.58478,87.29907,89,NA
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,64.89763,62.82443,78.62509,88.45753,77.88128,80.86085,89.6079,90.90304,85.53877,85.53626,89.48719,91.34114,95.49809,96.75973,99.32823,100.45198,94.94156,93.55944,80.22624,79.42569,73.31031,75,NA
Cyprus,,19.6,17,18,20,20,21.3,22.31889,24.18997,24.6016,29.95567,31.78829,31.89466,37.87891,38.00176,43.04325,43.0625,42.25984,42.74868,46.19695,48.58415,49.49666,51.12806,50.88289,51.59596,51.54117,55.50742,57.10441,58.18123,60.20686,58.45014,55.9974,55.42329,51.99584,53,NA
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,154,159,169,173,169,175,174,169.8205,178.9425,175.994,187.6663,205.9117,212.9455,211.4975,211.2203,215.0183,205.4504,201.4504,196.9156,193.9025,187.4792,200.0592
Denmark,,290,243,230,219,217,224,221,214,205,196,192,194,192,199,211,223,235,227,223,220,210.0014,213.42,197.1537,188.2836,185.3328,183.4496,190.443,190.6447,181.0861,166.5296,167.4666,163.9882,155.4888,154.7967,153.6123
Faroe Islands,,2.86734,3.02121,3.21688,3.37099,3.46699,3.54984,3.33323,3.54299,3.7,4.04058,4.34967,3.98258,3.97713,3.98964,4.04336,4.23992,4.34749,4.36787,4.38986,4.38986,4.46232,4.45795,4.49115,4.53496,4.57989,4.63625,4.92167,4.77551,4.85893,4.87937,4.66072,4.87937,4.87937,4.9,NA
Finland,,271,241,221,208,214,205,223,231,230,228,225,226,225,212,220,203,203,204,210,211,214.3366,212.2915,219.0167,223.191,220.7555,219.46,222.1847,226.7107,217.0098,202.6315,212.0016,206.1419,198.1415,194.3373,186.1929
Former Czechoslovakia,,355,350,327,319,301,298,295,296,281,310,291,242,241,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,56.45,33.30042,32.43072,27.02232,49.22836,67.41757,63.44068,57.56796,62.47702,81.93629,83.81769,84.66936,85.07921,86.087,--,--,--,--,--,--,--,--,--
Former Yugoslavia,,301,285.4,285.6,267,325,330.65461,304.24857,313.5,316.40001,309.869,317.14628,251.169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,2256,2023,1880,1835,1771,1753,1764,1785,1801,1844,1827,1942,1933,1879,1866,1915,1943,1962,2040,2034,2000.573,2054.4438,1991.4986,2000.8403,2008.4899,1990.0795,1991.4926,1978.2685,1940.0787,1863.0997,1821.6233,1779.4649,1738.8388,1712.791,1652.854
Germany,,--,--,--,--,--,--,--,--,--,--,--,2829,2841,2908,2883,2882,2922,2917,2923,2836,2766.7582,2807.4512,2710.4066,2679.2321,2648.0314,2624.0647,2635.7836,2406.6893,2533.4473,2434.471,2466.9266,2392.2022,2389.1325,2435.0836,2395.9216
"Germany, East",,375,355,371,337,372,362,362.1,342.46981,322.02909,300.36,282.28001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,2707,2449,2372,2324,2185,2289,2429.9,2380.53019,2400.97091,2280.64,2399.71999,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,3.3,3.7,3.3,2.6,2.4,5.5,8.23181,8.39553,10.84295,9.33337,9.68882,9.98432,17.64399,18.34919,18.4514,18.49227,18.51964,18.49512,21.45145,18.59101,41.08896,22.67871,23.06962,23.66844,24.35363,25.04556,25.61384,26.40225,27.00222,27.79063,50.44929,53.49907,53.96649,53,NA
Greece,,262,254,239,231,232,242,246,267,279,298,314,316,323,333,340,355,368,374,392,383,399.2117,405.7268,408.3841,428.7414,419.7628,423.8732,444.0885,449.9534,428.8555,403.3863,372.4537,350.9592,306.1464,282.6093,285.2329
Hungary,,244,236,223,223,200,206,195,199,182,183,178,164,164,161,162,155,145,149,156,149,143.2492,138.1534,140.3951,135.2236,136.2087,154.7507,163.1479,160.8912,158.8874,158.2126,149.2444,143.1962,132.8541,129.474,138.683
Iceland,,11,10,9,10,11,11,11,12,12,13,14,13,14,15,15,15,17,17,18,18,18.2298,17.3964,18.1562,18.1986,19.0027,17.1192,18.0241,17.9836,16.7959,15.4603,14.7219,14.6466,17.3805,15.4797,14.7258
Ireland,,119,104,92,83,85,84,99,89,80,83,92,99,101,104,114,117,122,134,150,168,169.9713,182.4359,179.4126,176.2529,181.7639,196.6408,203.3296,193.7099,191.3719,165.1986,164.3274,143.9356,136.3369,138.9436,139.6285
Italy,,1934,1874,1781,1750,1720,1705,1734,1815,1829,1897,1868,1856,1894,1891,1869,1942,1920,1934,1943,1891,1853.7639,1834.5332,1870.1345,1859.6556,1828.9262,1780.5726,1776.589,1728.6808,1666.7658,1544.2414,1544.2282,1493.8321,1370.1197,1259.8104,1224.6611
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.43293,13.27337,12.11266,12,NA
Luxembourg,,23,22,22,21,21,22,24,27,27,30,33,39,40,40,40,37,39,41,42,45,48.0874,51.1455,52.0003,55.6641,62.7981,64.8348,61.629,61.0077,61.1579,57.4145,60.0825,61.4003,59.241,58.4652,56.506
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,19.43,21.40884,17.94417,18.44851,23.34134,21.06907,22.35764,19.9966,22.07082,18.47682,20.16704,19.80205,19.64932,19.88729,19.62611,20.18912,18.71932,19.10433,18.82584,19.36162,18.77438,19,NA
Malta,,8.68,9.5,9.95,6.84,9.36,5.95,7.96956,8.72759,9.34317,9.76548,10.46548,11.36548,12.34046,13.23204,14.24959,15.10058,16.05776,17.13797,18.01485,20.5726,18.15885,15.06027,18.04836,17.98227,18.20814,18.91285,17.91038,19.05603,36.57995,39.79178,47.07293,42.37904,42.32033,42,NA
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.891,3.149,3.66632,3.77344,6.3394,6.19279,5.88123,6,NA
Netherlands,,792,731,642,613,590,610,675,691,723,715,734,758,769,764,764,767,761,793,802,828,854.5167,893.6603,898.3208,918.649,947.874,1009.3142,999.4792,1111.2326,1068.7262,1005.2014,1019.7879,1019.2145,1011.312,1014.2359,964.037
Norway,,200,185,167,165,188,197,201,204,196,190,199,189,189,195,200,208,220,220,221,222,209.241,222.0973,219.9942,229.9652,217.4008,221.5912,227.9619,238.2973,223.2978,222.7879,228.7967,221.5101,215.3724,218.111,212.2707
Poland,,387,346,318,325,314,317,331,340,340,345,280,271,279,293,304,318,361,391,404,420,411.2751,404.6836,406.4323,430.6671,454.1396,470.7792,502.2729,523.7027,539.2175,543.8049,567.5863,560.363,534.3604,507.3222,513.8079
Portugal,,154,140,184,185,191,180,196,192,204,249,251,252,279,266,271,290,281,298,326,337,332.7096,333.8811,343.1548,325.9784,327.9607,336.9216,302.7077,308.017,292.591,276.0945,273.6921,256.3956,230.2374,237.6668,241.5827
Romania,,374,345,340,319.6,307,320,322.2,339.592,329.58298,345.00117,382.25245,276.51151,250.01306,248.47788,220.76771,244.20854,256.99297,269.91229,249.52564,215.56865,224.23827,228.90572,232.28448,219.60536,225.08886,221.88468,217.62663,224.04533,230.94889,201.34682,192.34967,188.4475,190.11073,188,NA
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76.66364,92.42479,86.58407,82.66589,79.84562,78.92764,70.05003,72,NA
