Locality,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Virgin Islands,  U.S.",,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,16.3,18.72,25.76,33.96,48.17,72.5093,123.021,173.386,238.18,292.545,331.215,343.843,332.543
Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,,0.4,0.4,0.5,0.6,1.1,1.7,6.4,7.7,9.7,12.4,12.5,11.6,11.8
Belgium,,0,0,0,0,0,0,0.02,2,2.3,7.4,8,7.8,8.2
Bosnia and Herzegovina,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,,0,0,0,0,0,0,0.1,0.04,0.08,0.1,0.4,0.2,0.1
Croatia,,0,0,0,0,0,0,0,0.06,0.04,0.06,0.1,0.1,0.83
Cyprus,,0,0,0,0,0,0,0,0.02,0.31,0.33,0.33,0.33,0.33
Czech Republic,,1.4,1,1.4,1.4,0.7,0.1,0.44,0.704,2.8,4.9,5.8,7.3,6.8
Denmark,,0,0,0,0,0,0,0.1,0.2,0.205,0.3,1.1,5,5.2
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0,0,0.02,0.1,0.1,0,0.02,0.103,2.4,3.9,4.5,4.7,11
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,0,0,0,0,0,0,--,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,8,7.86,8.32,7.57,8.18,9.52,18.4,34.3,54.6,59,55,56.5,56
Germany,,4.9,6.8,10.8,15.7,21.9,40.7,67,74,66,68,75.5,73.9,75.7
"Germany, East",,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,0,0,0,0,0,0.06,1,1.9,1.5,1.7,2.8,2.3,2.76
Hungary,,0,0,0,0,0,0.1,0.407,0.94,4.2,4.3,4.6,4.2,4.23
Iceland,,0,0,0,0,0,0,0,0,0.005,0.005,0.005,0.003,0.001
Ireland,,0,0,0,0,0,0.0203,0.06,0.6,1.4,2,2.3,2.5,2.5
Italy,,0,0,0,0,5.6,4.1,4.6,4.2,16,27.3,35.2,35.9,21.4
Luxembourg,,0,0,0,0,0,0.01,0.01,0.73,0.83,0.92,0.92,1,0.2
Macedonia,,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
Malta,,0,0,0,0,0,0.016,0.018,0.039,0.02,0.01,0,0,0.01
Montenegro,,--,--,--,--,--,--,0,0,0,0,0,0,0
Netherlands,,0,0,0,0.07,0.07,0.05,1.09,7.8,7.57,9.8,6.6,8.8,8.77
Norway,,0,0,0,0,0.1,0.1,0.1,0.68,1.88,2.2,2.7,2.6,5.6
Poland,,0,0,0,1,0.5,1.3,2.6,2.5,11,13,18,20,19.6
Portugal,,0,0,0,0,0,0.003,1.6,3,2.8,5,7,7,6.4
Romania,,0,0,0,0,0,0,0.5,0.9,2.6,4.7,6.4,5.2,5.2
Serbia,,--,--,--,--,--,--,0,0.5,1,1.5,1.5,1.5,0.002
Slovakia,,0,0.6,0.1,0.04,0.02,0.2,0.94,2,3.1,3.7,4,4.1,3.8
Slovenia,,0,0,0,0,0,0.11,0.096,0.31,0.57,0.68,1,0.7,1
Spain,,1.6,1.6,3.5,5,5.2,7.2,5.2,9.9,15,25,34,40,35.3
Sweden,,0,0.46,1.06,2.18,4.2,4.5,6.5,8.4,10.1,10,11,12,12.4
Switzerland,,0,0,0,0,0.1,0.12,0.22,0.26,0.26,0.13,0.25,0.6,0.2
Turkey,,0,0,0,0,0,0.5,1.1,1,1.1,0.7,0.7,0.8,1
United Kingdom,,0,0,0.06,0.3,0.4,2.1,4.5,8.6,18.8,23.5,29,27.2,26.2
Eurasia,,0,0,0,0,0.02,0.235,0.594,1.3914,1.8886,1.98,2.6,3,3.14
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,0,0,0,0,0,0,0,0,0.2,0.5,0.7,0.8,0.8
Estonia,,0,0,0,0,0,0,0.014,0.0114,0.108,0,0,0,0
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,,0,0,0,0,0,0.115,0.08,0.06,0.0406,0.18,0.7,1.1,1.1
Lithuania,,0,0,0,0,0.02,0.12,0.5,1.32,1.54,1.3,1.2,1.1,1.24
Moldova,,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Jordan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.845,0.51,1,1.771,0.771
Algeria,,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Gabon,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02
Namibia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,,0,0,0,0,0,0,0,0.3,0.5,0,0,1,0
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,0,0,0,0,0,0,0,0,0.005,0.04,0.06,0.13,0.13
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0.1,0.5,0.2,0.2
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,,0,0,0,0,0,0,0,0,0.04,0.04,0.1,0.101,0.101
Asia & Oceania,,2.9,3.1,8.32,17.44,21.3,27.88,42.0605,45.79,68.13,86.01567,92.91583,111.86224,130.29155
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,0,0,0,0,0.1,0.7,1.6,2.2,3.5,5.3765,6.91018,8.03028,6.13514
Bangladesh,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,,0,0,0,0,0,0,0,0,0,0.0001,0.0005,0.0005,0.0005
China,,0,0.1,5.1,13.9,17.3,21.5,32,30.7,39.4,47.73363,46.45844,53.54093,58.9002
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.03
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
India,,2.9,3,3.2,3.3,3.5,3.9,4.5,4.7,5.2,2.72324,1.7577,7.32375,6.46213
Indonesia,,0,0,0,0,0,0.04,0.3,0.6,1.2,1.03112,3.79112,7.56918,14.04568
Japan,,0,0,0,0.2,0.2,0.2,0.2005,0.3,0.3,0.41287,0.65026,1.10293,1.16587
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",,0,0,0.02,0.04,0.1,0.2,0.9,1.7,3.2,5,6.6,6.5,6.5
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,0,0,0,0,0,0,0.2,0.7,0.18,0,0.02126,0.04605,2.57869
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,0,0,0,0,0,0,0,0.02,0.12,0.12,0.12,0.14,0.14
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,,0,0,0,0,0,0.04,0.06,0.67,1.2,3.77389,4.75613,5.89347,6.70339
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0,0,0,0,0,0,0,0,0,0.03,0.04,0.04,0.16
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,,0,0,0,0,0,0,0,0.1,0.63,1.1,2.1,1.7,2.4
Thailand,,0,0,0,0,0.1,1.3,2.3,4.1,13.2,18.71434,19.30024,19.14515,24.46995
Timor-Leste (East Timor),,--,--,--,0,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.5
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,299.55489,283.33417,336.45277,387.06853,485.73674,561.88785,747.498,991.00265,1349.79501,1588.30686,1774.67775,1828.94835,1866.19655
