Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Falkland Islands (Islas Malvinas),,0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.0142,0.0152,0.0152,0.01525,0.01525,0.01525,0.0163,0.0163,0.018,0.018,0.013,0.012,0.012
French Guiana,,0.106,0.116,0.129,0.154,0.169,0.194,0.209,0.233,0.265,0.294,0.332,0.381,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.585,0.606,0.631,0.655,0.681,0.706,0.733,0.771,0.792,0.822,0.735,0.6
Grenada,,0.023,0.025,0.025,0.025,0.025,0.028,0.032,0.038,0.042,0.047,0.052,0.056,0.059,0.061,0.066,0.089,0.095,0.1,0.111,0.119,0.131,0.143,0.14902,0.15921,0.15,0.14731,0.16716,0.17867,0.18983,0.19539,0.2014,0.196,0.193
Guadeloupe,,0.29,0.323,0.37,0.384,0.432,0.462,0.543,0.615,0.67,0.629,0.732,0.805,0.877,0.9327,0.9817,0.9837,1.091,1.173,1.182,1.185,1.197,1.202,1.15,1.245,1.479,1.505,1.566,1.639,1.638,1.638,1.64,1.645,1.65
Guatemala,,1.87,1.634,1.609,1.613,1.58,1.644,1.858,1.998,2.198,2.367,2.583,2.781,2.803,2.926,3.118,3.44801,3.29729,3.39457,4.26113,5.17806,6.02758,5.82818,6.14208,7.64878,6.74742,8.291,8.294,9.022,8.819,9.955,9.447,9.792,9.18
Guyana,,0.388,0.402,0.332,0.162,0.167,0.222,0.215,0.376,0.381,0.326,0.294,0.235,0.219,0.226,0.355,0.539,0.65,0.745,0.804,0.844,0.836,0.863,0.858,0.771,0.802,0.605,0.624,0.657,0.667,0.68,0.719,0.76,0.8
Haiti,,0.318,0.328,0.418,0.44,0.468,0.515,0.567,0.572,0.595,0.595,0.636,0.608,0.544,0.486,0.416,0.53,0.624,0.553,0.639,0.54,0.52816,0.57234,0.52678,0.5152,0.52678,0.53554,0.54906,0.44716,0.4657,0.68816,0.5604,0.893,1.089
Honduras,,0.899,0.978,1.037,1.066,1.04,1.045,1.427,1.291,1.904,2.004,2.254,2.286,2.358,2.45,2.114,2.266,2.985,3.052,3.306,3.097,3.54554,3.74674,3.9271,4.35346,4.65982,5.392,5.742,6.053,6.282,6.35,6.513,6.75667,7.309
Jamaica,,1.731,1.746,1.804,2.025,1.926,1.655,1.709,1.891,1.905,2.122,2.414,2.048,2.165,3.592,4.523,5.488,5.688,5.893,6.103,6.225,6.22172,6.26434,6.52446,6.72512,6.7951,6.98896,7.0381,5.603,3.97,4.066,4.016,4.104,4.041
Martinique,,0.258,0.279,0.318,0.367,0.383,0.414,0.447,0.502,0.55,0.601,0.641,0.694,0.742,0.801,0.849,0.917,0.958,1.013,1.025,1.045,1.048,1.203,1.234,1.286,1.326,1.389,1.43,1.476,1.517,1.558,1.632,1.697,1.762
Montserrat,,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.014,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.014,0.014,0.011,0.011,0.019,0.02,0.02,0.02,0.02,0.021,0.022,0.022,0.022,0.024,0.025
Netherlands Antilles,,1.021,1.03,1.171,1.199,1.105,1.058,0.916,0.65,0.658,0.693,0.743,0.753,0.802,0.855,0.92,0.955,1,0.998,1.056,1.054,1.084,1.059,1.055,1.14,1.167,1.203,1.175,1.21064,1.19748,1.28012,1.304,1.306,1.313
Nicaragua,,1.062,1.094,1.044,0.934,0.971,1.025,0.93,1.22,1.163,1.349,1.351,1.383,1.495,1.598,1.6,1.682,1.797,1.765,2.009,2.062,2.129,2.34,2.704,2.608,2.699,3.00743,3.09907,2.92732,3.08845,3.399,3.617,3.764,4.181
Panama,,1.791,1.999,2.177,2.31,2.353,2.496,2.724,2.777,2.718,2.673,2.793,2.912,2.849,3.151,3.256,3.483,4.114,4.177,3.642,4.376,4.766,4.943,5.147,5.384,5.606,5.665,5.862,6.3276,6.30572,6.77514,7.236,7.642,8.361
Paraguay,,0.763,0.793,0.709,0.824,0.935,4.121,11.974,18.569,19.95,24.253,27.229,29.39,27.181,31.167,36.071,41.757,44.915,50.4,50.422,51.449,52.969,44.876,47.744,51.26933,51.417,50.657,53.249,53.191,54.912,54.41,53.525,57.05,59.633
Peru,,9.95944,10.6864,11.35806,10.69922,11.62904,12.16208,12.96554,13.94652,13.4339,13.47786,13.19,13.891,12.836,14.505,14.497,16.439,16.939,17.534,18.16,18.633,19.53705,20.42205,21.57805,22.48805,23.84705,25.34005,26.72405,29.14005,32.05305,31.96405,34.78105,37.99105,39.065
Puerto Rico,,13.301,13.058,11.114,11.326,11.783,11.586,12.109,12.944,13.552,13.465,14.24632,14.86057,15.44584,16.17872,16.83444,17.40713,17.87899,18.74312,19.21237,20.10394,21.813,22.302,23.175,23.937,24.135,24.96228,23.837,22.305,20.921,20.709,20.888,20.015,20.026
Saint Kitts and Nevis,,0.034,0.034,0.035,0.033,0.033,0.033,0.033,0.034,0.035,0.035,0.061,0.079,0.079,0.065,0.07,0.076,0.077,0.085,0.087,0.092,0.094,0.094,0.103,0.119,0.122,0.125,0.127,0.129,0.131,0.133,0.135,0.138,0.14
Saint Lucia,,0.054,0.058,0.057,0.064,0.064,0.068,0.07,0.075,0.097,0.097,0.098,0.099,0.143,0.16021,0.16984,0.18478,0.18615,0.20036,0.22173,0.24082,0.26014,0.26935,0.26857,0.28104,0.29003,0.3042,0.31091,0.32496,0.3312,0.34121,0.358,0.362,0.3617
Saint Vincent/Grenadines,,0.026,0.027,0.03,0.03,0.034,0.038,0.04,0.043,0.047,0.048,0.049,0.051,0.055,0.06,0.061,0.069,0.073,0.076,0.081,0.081,0.09,0.094,0.097,0.103,0.114,0.12584,0.12696,0.13376,0.13197,0.132,0.136,0.135,0.137
Suriname,,1.524,1.324,1.304,1.077,1.108,1.172,1.167,0.671,0.887,1.343,1.501,1.682,1.726,1.75,1.77,1.594,1.406,1.414,1.421,1.44,1.397,1.416,1.431,1.444,1.457,1.518,1.563,1.563,1.564,1.566,1.573,1.675,1.75
Trinidad and Tobago,,1.95,2.174,2.53,2.746,2.83,2.853,3.136,3.322,3.309,3.255,3.364,3.498,3.739,3.59,3.827,4.051,4.27,4.69,4.86,4.933,5.133,5.307,5.307,6.052,6.046,6.636,6.742,7.217,7.268,7.374,7.996,8.266,8.604
Turks and Caicos Islands,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.019,0.023,0.026,0.03,0.034,0.037,0.036,0.048,0.05,0.06,0.071,0.075,0.096,0.103,0.11,0.124,0.149,0.171,0.186,0.196,0.191,0.185,0.18
Uruguay,,3.262,3.51,3.495,7.258,7.161,6.525,7.344,7.482,6.847,5.597,7.406,6.913,8.79,7.895,7.592,6.226,6.562,7.075,9.963,7.048,7.494,9.162,9.513,8.53,5.787,7.562,5.467,9.2718,8.51832,8.64768,10.811,10.147,10.303
Venezuela,,32.012,35.957,38.274,41.801,42.645,46.22,48.363,52.427,56.46,55.896,57.606,61.752,65.744,67.579,69.498,71.598,73.745,76.245,78.947,78.777,83.24,87.733,86.646,89.267,96.216,101.385,107.904,111.84176,116.48164,116.703,115.107,118.919,123.026
"Virgin Islands,  U.S.",,0.749,0.791,0.801,0.823,0.827,0.846,0.865,0.905,0.912,0.893,0.921,0.94,0.959,0.978,0.994,1.007,1.011,1.015,1.019,1.02,1.025,0.968,0.978,0.978,0.987,0.8547,0.86377,0.87084,0.84357,0.872,0.825,0.794,0.77792
"Virgin Islands, British",,0.022,0.024,0.025,0.024,0.027,0.029,0.033,0.037,0.04,0.041,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.04,0.0381,0.038,0.042,0.042,0.042,0.045,0.045,0.047,0.049,0.051,0.053,0.055
Europe,,2147.832,2148.37,2161.372,2231.569,2341.144,2438.794,2494.874,2568.437,2617.017,2673.0108,2692.651,2719.493,2725.34365,2738.60423,2783.30946,2866.33765,2955.6646,2986.31486,3058.6874,3099.50879,3206.88686,3266.03628,3290.35263,3362.62141,3445.81929,3488.45971,3546.21353,3591.38418,3622.68536,3463.16788,3621.54512,3568.3733,3581.7377
Albania,,3.635,3.673,3.692,3.71,3.737,3.783,3.814,4.236,3.93,4.081,3.141,3.641,3.31,3.441,3.858,4.359,5.857,5.125,5.01,5.337,4.68336,3.64778,3.64056,5.21758,5.5426,5.3848,5.03842,2.82768,3.759,5.17994,7.63894,4.018,4.246
Austria,,40.574,41.233,41.458,41.191,40.97,43.033,43.295,38.842,47.491,48.426,47.73,49.507,49.492,50.088,50.71,53.733,52.019,54.272,54.62,57.615,57.92042,58.93718,58.4038,55.50484,59.30708,61.30282,59.45348,60.17314,61.97422,63.559,64.777,60.487,64.905
Belgium,,50.572,47.537,47.25,49.041,50.813,53.112,54.576,59.154,61.423,63.708,66.36,67.17,67.377,66.105,67.275,69.309,70.833,73.42695,77.33711,78.572,77.99376,74.06752,76.282,78.76056,79.49996,80.61608,79.3191,82.41244,78.76178,84.84878,88.59356,84.442,76.089
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,6.304,3.245,4.162,4.32,7.157,8.471,9.282,10.191,10.0579,10.25858,10.40098,10.8151,12.26306,12.14576,12.80288,11.27702,14.17664,15.04026,16.49812,14.582,13.448
Bulgaria,,32.854,34.868,38.112,40.185,42.08,39.184,39.354,40.916,42.409,42.615,39.449,36.721,33.704,35.952,36.0665,39.569,41.067,39.854,39.253,35.912,38.3182,40.65336,40.75548,39.52822,38.79962,41.2454,42.68836,40.25173,41.72358,39.63248,43.13404,46.654,43.734
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,8.578,9.015,8.026,8.594,10.277,9.353,10.505,11.833,10.22004,11.65016,11.68252,12.02396,12.6961,11.88718,11.81644,11.50088,11.69966,12.23508,13.54012,10.161,9.982
Cyprus,,0.968,0.993,1.071,1.148,1.175,1.24,1.338,1.421,1.568,1.734,1.857,1.952,2.26,2.426,2.52,2.325,2.4365,2.548,2.777,2.951,3.168,3.338,3.558,3.809,3.948,4.114,4.373,4.579,4.774,4.835,5.014,4.5706,4.433
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,55.52935,55.38585,57.48185,60.163,61.16639,61.38,60.394,68.61,69.92992,71.66256,78.0624,78.9831,76.96922,78.5972,82.55662,78.31462,76.94644,80.447,81.859,81.855
Denmark,,25.162,18.453,22.394,20.74,19.741,25.707,28.79,27.577,25.785,21.247,24.488,34.418,28.98,32.039,37.903,34.589,50.509,41.852,38.89373,36.856,34.22084,35.83744,37.36228,43.9208,38.60988,34.70892,43.47584,37.62304,35.076,34.816,37.296,33.736,28.925
Faroe Islands,,0.152,0.157,0.161,0.161,0.169,0.182,0.18,0.184,0.205,0.206,0.202,0.194,0.191,0.17342,0.16861,0.16757,0.17462,0.17567,0.18344,0.19279,0.20402,0.22117,0.23072,0.23849,0.23916,0.23575,0.24986,0.25942,0.26485,0.26452,0.26773,0.261,0.281
Finland,,38.71,39.115,39.355,40.347,43.226,47.316,46.916,50.847,43.97,51.187,57.005,60.36,55.507,58.645,62.865,61.299,66.3682,65.52758,67.473,66.683,67.0747,71.23686,71.53498,80.30388,82.06266,67.86486,78.8327,77.9372,74.3433,69.12744,77.32052,69.733,67.506
Former Czechoslovakia,,72.148,69.133,70.426,71.853,73.886,76.343,80.517,80.36,81.747,83.552,81.249,78.415,77.836,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,34.866,31.681,32.213,35.268,38.05,37.97,35.191,30.946,31.842,32.745,33.032,33.24,35.69,34.546,--,--,--,--,--,--,--
Former Yugoslavia,,57.153,58.204,59.758,63.67,69.923,72.091,75.121,77.257,79.935,78.931,78.69,75.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,250.498,261.858,264.508,279.984,306.101,324.265,341.513,355.869,370.643,384.475,396.252,428.584,438.0358,447.433,453.011,467.8905,483.499,476.815,482.467,494.583,509.72866,519.5097,526.18538,533.6512,540.64528,544.90606,542.77118,538.52918,544.0015,507.32836,540.294,531.554,533.324
Germany,,--,--,--,--,--,--,--,--,--,--,--,505.457,503.627,493.139,495.603,502.972,520.14,517.17443,522.214,519.283,540.11648,549.6969,549.97644,572.498,579.2322,576.8542,593.5054,597.8544,595.214,556.706,591.153,572.31,585.224
"Germany, East",,98.808,94.478,96.52,98.419,110.093,113.834,115.291,113.62,117.634,117.724,104.008,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,368.564,367.279,364.611,370.553,391.745,404.905,405.107,414.911,427.814,409.933,419.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0.052,0.054,0.056,0.057,0.057,0.059,0.061,0.066,0.07,0.076,0.077,0.077,0.083,0.083,0.083,0.083,0.085,0.087,0.092,0.096,0.1175,0.11844,0.12126,0.12596,0.12784,0.1363,0.14194,0.1457,0.15604,0.16356,0.16638,0.161,0.165
Greece,,21.288,21.879,21.763,22.263,23.057,25.736,25.965,27.595,29.648,31.266,32.681,33.724,35.031,35.861,37.991,38.897,40.026,40.80618,43.546,46.581,50.26192,49.78354,50.6184,54.50368,55.37564,55.95374,56.7105,58.86248,59.09142,57.7506,54.47804,55.96,57.552
Hungary,,22.364,22.687,23.208,24.256,24.743,25.211,26.404,27.998,27.52,27.854,26.909,28.36,30.026,31.16331,31.743,32.22673,33.22876,33.52012,35.21641,35.724,33.23722,34.38844,34.14072,32.22422,31.86014,33.7422,33.65762,37.74876,37.70684,33.7298,35.15972,33.885,32.478
Iceland,,3.148,3.268,3.585,3.777,3.925,3.852,4.063,4.157,4.42,4.479,4.468,4.452,4.503,4.682,4.735,4.933,5.0747,5.53369,6.225,7.128,7.6197,7.96676,8.34564,8.42864,8.55176,8.6157,9.85676,11.89288,16.34388,16.71088,16.93288,17.08488,17.426
Ireland,,9.54,9.448,9.674,9.598,9.799,10.553,10.851,11.673,11.786,12.588,13.29,13.977,14.778,15.13,15.77,16.496,17.711,18.43922,19.567,20.396,22.17072,23.0527,23.24434,23.23862,23.58174,24.00882,25.42254,26.142,28.127,26.2954,26.8254,26.1434,25.8514
Italy,,175.413,169.761,173.03,170.44,169.876,171.861,178.341,187.607,173.751,195.2898,200.811,206.449,210.983,207.401,216.109,223.394,225.23,231.67997,237.942,243.258,253.21828,255.25074,259.79924,264.89276,277.3016,278.1547,288.70848,289.4176,295.01506,272.7467,283.1889,286.418,281.029
Kosovo,,--,--,--,--,--,--,--,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.856,4.684,4.864,5.458,5.591
Luxembourg,,0.791,0.548,0.363,0.312,0.383,0.348,0.391,0.407,0.352,0.378,0.298,0.225,0.389,0.433,0.318,0.144,0.107,0.064,0.062,0.093,0.1341,0.56193,2.35157,2.3188,2.88582,2.83858,2.99818,2.7053,2.25288,2.68142,2.501,2.04248,2.119
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,5.721,4.896,5.491,5.804,6.286,6.374,6.679,6.521,6.46054,6.01184,5.76296,6.40216,6.3409,6.60282,6.67146,6.15872,5.97474,6.48152,6.94626,6.425,5.939
Malta,,0.506,0.554,0.608,0.635,0.658,0.737,0.799,0.887,0.968,1.034,1.23,1.334,1.401,1.41,1.449,1.534,1.559,1.585,1.618,1.743,1.80198,1.82642,1.92888,2.10184,2.08304,2.1056,2.12534,2.15824,2.17328,2.03892,1.98822,2.05,2.145
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.86288,2.0794,2.73566,2.69766,3.91868,2.557,2.747
Netherlands,,62.97,62.18,57.793,57.089,60.293,59.579,63.63,65.031,66.249,69.581,67.801,70.082,72.592,72.38865,75.002,76.11,79.993,80.43608,84.685,80.642,84.31044,88.12854,90.32242,91.17222,96.5379,94.50572,92.93052,99.27836,101.72108,107.35318,111.69582,106.893,94.865
Norway,,82.705,91.811,91.603,104.863,105.028,101.561,95.546,102.684,108.131,117.762,120.284,109.258,115.77685,118.335,110.608,120.603,103.516,108.625,114.879,120.87,140.80948,119.70842,128.56782,105.2534,108.66352,135.3932,119.72378,134.10084,139.21964,129.06828,121.517,124.341,144.622
Poland,,113.449,107.042,109.187,116.666,124.702,127.372,129.532,134.343,132.913,134.246,125.961,124.513,122.583,123.521,124.925,128.481,132.45722,132.447,132.249,130.904,133.94334,134.55504,133.49792,140.48162,142.9213,145.63056,150.94878,149.249,145.665,142.451,148.2105,153.6055,152.733
Portugal,,14.948,13.518,15.089,17.721,18.83,18.56,19.886,19.854,20.894,24.869,27.09,28.398,27.983,29.544,30.03,31.597,33.118,32.78295,37.267,40.67,41.27818,44.07368,43.21964,44.4976,42.6633,43.70262,46.27512,44.78848,43.42942,47.34242,51.91452,49.896,43.411
Romania,,63.867,66.355,65.169,66.543,67.861,68.101,71.477,70.183,71.479,71.928,61,54.21,51.532,52.79,52.481,56.548,58.063,54.64922,51.142,48.506,49.653,51.298,52.179,52.423,53.991,56.75,59.737,58.60454,61.702,54.829,57.88,59.023,56.013
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.603,34.56922,34.76598,35.68332,35.408,35.892,31.773
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,22.9295,23.3085,24.671,24.337,23.303,23.988,26.146,29.30758,30.28124,30.64922,29.39778,28.93062,29.3087,29.16634,26.101,26.90578,24.32788,25.77784,26.339,26.639
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,11.573,10.945,11.748,12.007,11.973,12.349,12.855,12.487,13.05146,13.86954,13.99364,13.20332,14.62748,14.47288,14.46846,14.38535,15.7091,15.72955,15.51636,15.162,14.809
Spain,,108.579,109.573,113.188,114.778,117.409,124.778,127.486,127.987,129.867,140.062,143.675,147.118,148.172,147.425,152.877,156.873,165.187,179.752,183.533,194.466,208.74216,221.13356,226.02084,244.1845,259.36468,268.93376,279.96651,286.47399,295.63654,278.26738,285.38432,278.10712,279.995
Sweden,,94.18,100.48,97.156,107.133,121.376,134.069,135.623,143.45,142.435,141.168,141.531,142.098,141.432,140.774,137.814,143.626,135.6186,144.716,154.111,150.33,141.29314,156.83374,142.1832,130.91358,148.42829,154.58129,140.43441,145.26544,146.36121,133.52426,145.21455,145.86243,161.046
Switzerland,,45.994,49.636,50.28,49.965,47.06,52.491,53.539,55.858,57.365,52.15,52.801,54.464,56.439,58.854,63.546,59.932,53.878,59.77957,59.882,66.493,63.79096,68.65742,62.97798,62.7588,61.39618,55.40657,59.52383,63.97804,64.41186,64.1049,63.89896,60.64589,64.811
Turkey,,23.322,23.803,26.44,27.356,30.721,34.369,36.398,39.965,46.3,45.879,55.253,57.772,64.637,71.085,75.159,82.868,91.209,99.11184,106.47971,111.135,118.99016,116.58502,123.3396,133.9289,143.97546,154.2328,167.95614,181.90008,188.2498,185.05796,201.36774,218.585,228.339
United Kingdom,,264.918,258.792,253.864,257.115,261.707,274.562,279.07,283.498,288.315,294.582,297.67,301.413,299.641,300.042,302.355,307.633,328.457,326.543,340.083,343.971,352.53662,360.2217,362.38064,372.59598,368.69238,370.6021,368.40008,367.597,360.392,348.929,354.816,341.469,335.6873
